dans	ADP	dans
introduction	NOUN	introduction
Marseille	PROPN	Marseille
Cortazar	PROPN	Cortazar
à	ADP	à
de	ADP	de
brève	ADJ	bref
Paris	PROPN	Paris
des	ADP	de
le	DET	le
en	ADP	en
s'	PRON	se
Autonautes	NOUN	autonaute
.	PUNCT	.
de	ADP	de
parking	NOUN	parking
voyage	NOUN	voyage
cosmoroute	NOUN	cosmoroute
passant	VERB	passer
et	CCONJ	et
/	ADP	sur
de	ADP	de
deux	PRON	deux
Je	PRON	je
livre	NOUN	livre
venais	VERB	venir
la	DET	le
nuit	NOUN	nuit
,	PUNCT	,
Dunlop	PROPN	Dunlop
en	ADP	en
sur	ADP	sur
découvrir	VERB	découvrir
arrêtant	VERB	arrêter
:	PUNCT	:
fabuleux	NOUN	fabuleu
un	DET	un
Julio	PROPN	Julio
chaque	DET	chaque
la	DET	le
bus	NOUN	bus
Les	DET	le
Un	DET	un
Volkswagen	PROPN	Volkswagen
,	PUNCT	,
Carol	PROPN	Carol
«	ADJ	«
voyage	NOUN	voyage
arrêts	NOUN	arrêt
.	PUNCT	.
s'	PRON	se
32	NUM	32
total	ADJ	total
d'	ADP	de
avec	ADP	avec
Une	DET	un
Soit	CCONJ	soit
espace	NOUN	espace
,	PUNCT	,
sans	ADP	sans
en	ADP	en
fait	NOUN	fait
l'	DET	le
gravite	VERB	gravite
voyage	NOUN	voyage
reste	NOUN	reste
.	PUNCT	.
l'	DET	le
la	DET	le
inversion	NOUN	inversion
autoroute	NOUN	autoroute
impression	NOUN	impression
séparé	VERB	séparer
pour	ADP	pour
l'	DET	le
le	DET	le
planète	NOUN	planète
qui	PRON	qui
de	ADP	de
monde	NOUN	monde
du	ADP	de
est	AUX	être
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
quitter	VERB	quitter
en	PRON	en
drôle	NOUN	drôle
le	DET	le
que	SCONJ	que
monde	NOUN	monde
avec	ADP	avec
devient	VERB	devenir
,	PUNCT	,
immobile	VERB	immobile
du	ADP	de
jours	NOUN	jour
l'	DET	le
et	CCONJ	et
autoroute	NOUN	autoroute
isolement	NOUN	isolement
désordre	VERB	désordre
Ils	PRON	il
un	DET	un
le	DET	le
fait	NOUN	fait
en	ADP	en
.	PUNCT	.
,	PUNCT	,
lentement	ADV	lentement
,	PUNCT	,
en	ADP	en
mourra	ADV	mourra
me	PRON	me
On	PRON	on
le	DET	le
en	ADP	en
,	PUNCT	,
paradoxal	ADJ	paradoxal
adieu	NOUN	adieu
voyage	NOUN	voyage
peu	ADV	peu
autoroute	NOUN	autoroute
autour	ADV	autour
ce	DET	ce
.	PUNCT	.
de	ADP	de
l'	DET	le
plus	ADV	plus
monde	NOUN	monde
nous	PRON	nous
L'	DET	le
comprend	VERB	comprendre
cherchant	VERB	chercher
:	PUNCT	:
que	SCONJ	que
.	PUNCT	.
est	AUX	être
lieu	NOUN	lieu
après	ADP	après
disent	ADV	disent
Cortazar	PROPN	Cortazar
que	SCONJ	que
au	ADP	au
revoir	NOUN	revoir
au	ADP	au
tout	ADV	tout
Carol	PROPN	Carol
ça	PRON	cela
ainsi	ADV	ainsi
ne	ADV	ne
.	PUNCT	.
aire	NOUN	aire
service	NOUN	service
enterrement	NOUN	enterrement
station	NOUN	station
connaît	VERB	connaître
une	DET	un
,	PUNCT	,
d'	ADP	de
échappés	ADJ	échappé
,	PUNCT	,
de	ADP	de
ne	ADV	ne
enfance	NOUN	enfance
panne	NOUN	panne
et	CCONJ	et
d'	ADP	de
de	ADP	de
,	PUNCT	,
garage	NOUN	garage
camion	NOUN	camion
repartir	VERB	repartir
souvenirs	NOUN	souvenir
en	ADP	en
d'	ADP	de
