bateau	NOUN	bateau
Fantôme	PROPN	Fantôme
les	DET	le
non	ADV	non
se	PRON	se
hall	NOUN	hall
Fantômes	PROPN	Fantômes
traînant	VERB	traîner
prenait	VERB	prendre
de	ADP	de
automobiles	NOUN	automobile
,	PUNCT	,
suite	NOUN	suite
deux	NUM	deux
du	ADP	de
comme	SCONJ	comme
du	ADP	de
l'	DET	le
fait	VERB	faire
pas	ADV	pas
centre	NOUN	centre
organisée	VERB	organiser
et	CCONJ	et
la	DET	le
au	ADP	au
construction	NOUN	construction
d'	ADP	de
un	DET	un
on	PRON	on
machine	NOUN	machine
carcasses	NOUN	carcasse
cale	NOUN	cale
train	NOUN	train
cela	PRON	cela
mais	CCONJ	mais
soudure	NOUN	soudure
sur	ADP	sur
:	PUNCT	:
fabrique	VERB	fabrique
dans	ADP	dans
à	ADP	à
leur	DET	leur
d'	ADP	de
assembler	VERB	assembler
d'	ADP	de
une	DET	un
que	SCONJ	que
acier	NOUN	acier
parfois	ADV	parfois
armature	NOUN	armature
allées	NOUN	allée
,	PUNCT	,
peintres	ADJ	peintre
hommes	NOUN	homme
sur	ADP	sur
,	PUNCT	,
ans	NOUN	an
et	CCONJ	et
mêler	VERB	mêler
et	CCONJ	et
en	ADP	en
blouse	ADJ	blous
tuyauteurs	NOUN	tuyauteur
Témoignage	NOUN	témoignage
de	ADP	de
épaules	NOUN	épaule
long	ADJ	long
,	PUNCT	,
perroquets	NOUN	perroquet
le	DET	le
de	ADP	de
,	PUNCT	,
y	PRON	y
six	NUM	six
mètres	NOUN	mètre
mètres	NOUN	mètre
arpentaient	VERB	arpenter
les	DET	le
de	ADP	de
des	ADP	de
tandis	ADV	tandis
s'	PRON	se
haut	ADJ	haut
grise	ADJ	gris
métiers	NOUN	métier
trente	NUM	trente
sans	ADP	sans
des	DET	un
leurs	DET	leur
câbleurs	NOUN	câbleur
que	SCONJ	que
:	PUNCT	:
,	PUNCT	,
les	DET	le
contremaîtres	NOUN	contremaître
grouillement	NOUN	grouillement
sur	ADP	sur
ajusteurs	NOUN	ajusteur
.	PUNCT	.
chaudronniers	NOUN	chaudronnier
des	DET	un
dès	ADP	dès
violemment	VERB	violemmer
hurlante	ADJ	hurlant
renversaient	VERB	renverser
une	DET	un
que	SCONJ	que
repoussées	ADJ	repousser
(	PUNCT	(
six	NUM	six
et	CCONJ	et
aussitôt	ADV	aussitôt
criant	VERB	crier
de	ADP	de
sur	ADP	sur
lits	NOUN	lit
d'	ADP	de
couloirs	NOUN	couloir
on	PRON	on
,	PUNCT	,
sembla	NOUN	sembla
dans	ADP	dans
quatre	NUM	quatre
premier	ADJ	premier
cela	PRON	cela
matin	NOUN	matin
était	AUX	être
dans	ADP	dans
,	PUNCT	,
se	PRON	se
contre	ADP	contre
par	ADP	par
les	DET	le
ils	PRON	il
précipitaient	ADV	précipitaient
heures	NOUN	heure
chambres	NOUN	chambre
horde	NOUN	horde
les	DET	le
les	DET	le
les	DET	le
en	ADP	en
les	DET	le
murs	NOUN	mur
claquaient	ADJ	claquaient
ils	PRON	il
le	DET	le
portes	NOUN	porte
sommiers	NOUN	sommier
,	PUNCT	,
au	ADP	au
pas	ADV	pas
hurlant	VERB	hurler
chacun	PRON	chacun
debout	ADV	debout
une	DET	un
fer	NOUN	fer
mais	CCONJ	mais
vite	ADV	vite
avec	ADP	avec
,	PUNCT	,
on	PRON	on
de	ADP	de
tandis	ADV	tandis
le	DET	le
dans	ADP	dans
et	CCONJ	et
:	PUNCT	:
couloir	NOUN	couloir
)	PUNCT	)
brunes	ADJ	brun
quatre	NUM	quatre
habillés	NOUN	habillé
larges	ADJ	large
couvertures	NOUN	couverture
que	SCONJ	que
alignés	NOUN	aligné
dos	ADJ	do
le	DET	le
le	DET	le
et	CCONJ	et
,	PUNCT	,
corps	NOUN	corps
était	AUX	être
long	ADJ	long
des	DET	un
mur	NOUN	mur
armoire	ADJ	armoir
déjà	ADV	déjà
étages	NOUN	étage
courant	ADJ	courant
bâtiment	NOUN	bâtiment
une	DET	un
,	PUNCT	,
meute	NOUN	meute
remplissant	VERB	remplir
plus	ADV	plus
poignée	NOUN	poignée
et	CCONJ	et
eux	PRON	lui
ri	PRON	ri
ils	PRON	il
d'	ADP	de
,	PUNCT	,
ou	CCONJ	ou
et	CCONJ	et
qu'	SCONJ	que
un	PRON	un
jeu	NOUN	jeu
de	ADP	de
pris	VERB	prendre
à	ADP	à
la	DET	le
neuf	ADJ	neuf
on	PRON	on
(	PUNCT	(
ceinture	NOUN	ceinture
zagrise	NOUN	zagrise
abord	ADV	abord
de	ADP	de
de	ADP	de
blouse	ADJ	blous
un	DET	un
de	ADP	de
dépouiller	VERB	dépouiller
hurler	NOUN	hurler
certains	PRON	certains
avaient	VERB	avoir
d'	ADP	de
d'	ADP	de
entre	ADP	entre
à	ADP	à
acceptait	VERB	accepter
parler	VERB	parler
une	DET	un
se	PRON	se
comme	ADP	comme
lacets	ADJ	lacet
rire	NOUN	rire
grise	ADJ	gris
les	DET	le
ficelle	NOUN	ficelle
si	SCONJ	si
alignés	NOUN	aligné
était	AUX	être
boucler	VERB	boucler
continuaient	VERB	continuer
l'	DET	le
tout	ADV	tout
,	PUNCT	,
à	ADP	à
c'	PRON	ce
dix	NUM	dix
soleil	NOUN	soleil
donné	VERB	donner
genoux	NOUN	genou
)	PUNCT	)
que	SCONJ	que
abaissement	ADV	abaissement
beautés	NOUN	beauté
n'	ADV	n'
est	AUX	être
d'	ADP	de
pour	ADP	pour
ou	CCONJ	ou
n'	ADV	n'
à	ADP	à
s'	SCONJ	s'
qui	PRON	qui
ils	PRON	il
priant	VERB	prier
injures	NOUN	injure
tel	ADJ	tel
des	DET	un
,	PUNCT	,
pompes	NOUN	pompe
d'	ADP	de
imposer	VERB	imposer
importe	VERB	importe
sous	ADP	sous
c'	PRON	ce
autre	ADJ	autre
autres	ADJ	autre
pas	ADV	pas
le	DET	le
physiques	ADJ	physique
un	DET	un
le	DET	le
à	ADP	à
,	PUNCT	,
est	VERB	être
déversement	NOUN	déversement
n'	ADV	n'
qu'	SCONJ	que
il	PRON	il
disaient	VERB	dire
étaient	VERB	être
étaient	VERB	être
(	PUNCT	(
ils	PRON	il
que	SCONJ	que
quelle	DET	quel
vêtir	VERB	vêtir
au	ADP	au
être	AUX	être
)	PUNCT	)
eux	PRON	lui
sauraient	VERB	savoir
on	PRON	on
usine	NUM	usine
de	ADP	de
s'	PRON	se
aussi	ADV	aussi
tous	ADJ	tout
métiers	NOUN	métier
dix-huit	NOUN	dix-huit
lors	ADV	lors
lesquels	ADJ	lesquel
préparés	VERB	préparer
bout	NOUN	bout
dès	ADP	dès
aurions	ADJ	aurion
où	PRON	où
préparation	NOUN	préparation
-nous	PRON	nous
aux	ADP	à
.	PUNCT	.
Fantôme	VERB	fantôme
ans	NOUN	an
deux	NUM	deux
cette	DET	ce
hall	NOUN	hall
d'	ADP	de
y	PRON	y
mois	NOUN	mois
pensions	NOUN	pension
le	DET	le
,	PUNCT	,
