de	ADP	de
Malloy	PROPN	Malloy
Tu	PROPN	Tu
,	PUNCT	,
une	DET	un
en	ADP	en
ÎCeLLY	X	ÎCeLLY
—	PUNCT	—
je	PRON	je
le	DET	le
!	PUNCT	!
C'	PRON	ce
yeux	NOUN	oeil
collaborer	VERB	collaborer
pas	ADV	pas
!	PUNCT	!
rédacteur	NOUN	rédacteur
des	DET	un
n'	ADV	n'
Art	PROPN	Art
son	DET	son
verts	X	vert
que	SCONJ	que
les	DET	le
de	ADP	de
cent	PRON	cent
imagines	ADJ	imagine
tout	ADV	tout
Tu	ADP	tu
.	PUNCT	.
n'	ADV	n'
pas	ADV	pas
dans	ADP	dans
est	AUX	être
Ses	DET	son
bureau	NOUN	bureau
même	ADV	même
chef	NOUN	chef
plaisanterie	NOUN	plaisanterie
lançaient	ADV	lançaient
es	ADJ	e
grands	ADJ	grand
furibonds	ADJ	furibond
pas	ADV	pas
sérieux	ADJ	sérieux
Wittner	PROPN	Wittner
faisait	VERB	faire
.	PUNCT	.
vais	VERB	aller
éclairs	NOUN	éclair
d'	ADP	de
un	DET	un
en	PRON	en
tiens	VERB	tenir
moi	PRON	moi
comme	SCONJ	comme
avec	ADP	avec
qui	PRON	qui
les	DET	le
...	PUNCT	...
!	PUNCT	!
C'	PRON	ce
histoire	NOUN	histoire
!	PUNCT	!
sais	VERB	savoir
ai	AUX	avoir
sais	VERB	savoir
,	PUNCT	,
tout	ADV	tout
à	ADP	à
tu	PRON	tu
d'	ADP	de
toutes	ADJ	tout
de	ADP	de
,	PUNCT	,
Je	PRON	je
le	DET	le
travail	NOUN	travail
fait	VERB	faire
sujet	NOUN	sujet
ai	AUX	avoir
,	PUNCT	,
tout?	NOUN	tout?
est	AUX	être
!	PUNCT	!
Witt	PROPN	Witt
approche	NOUN	approche
je	PRON	je
qui	PRON	qui
adoption	NOUN	adoption
eu	VERB	avoir
Cette	DET	ce
est	AUX	être
l'	DET	le
idée	NOUN	idée
ce	DET	ce
journaliste	NOUN	journaliste
moi	PRON	moi
recherches	NOUN	recherche
c'	PRON	ce
son	DET	son
Je	PRON	je
-il	PRON	il
ses	DET	son
nous	PRON	nous
main	NOUN	main
—	PUNCT	—
reprit	VERB	reprendre
magazine	NOUN	magazine
sais	VERB	savoir
patron	NOUN	patron
appelle	VERB	appeler
sur	ADP	sur
sur	ADP	sur
,	PUNCT	,
qu'	SCONJ	que
la	DET	le
.	PUNCT	.
trouve	VERB	trouve
cheveux	ADJ	cheveux
passa	VERB	passer
sa	DET	son
son	DET	son
,	PUNCT	,
Witt	NOUN	witt
Kelly	PROPN	Kelly
ridicule	ADJ	ridicule
que	SCONJ	que
il	PRON	il
et	CCONJ	et
,	PUNCT	,
et	CCONJ	et
je	PRON	je
pour	ADP	pour
se	PRON	se
.	PUNCT	.
journal	NOUN	journal
dans	ADP	dans
dire	VERB	dire
chaise	NOUN	chaise
si	SCONJ	si
renversa	VERB	renverser
Mais	CCONJ	mais
le	DET	le
grand	ADJ	grand
grisonnants	NOUN	grisonnant
sais	VERB	savoir
,	PUNCT	,
travaillent	VERB	travailler
—	PUNCT	—
lui	PRON	lui
même	ADJ	même
fortiori	X	fortiori
,	PUNCT	,
Et	CCONJ	et
de	ADP	de
le	DET	le
a	X	avoir
,	PUNCT	,
vaudrait	VERB	valoir
son	DET	son
salaire	NOUN	salaire
non	ADV	non
qui	PRON	qui
qu'	SCONJ	que
oublie	VERB	oublier
efforts	NOUN	effort
Norwalk	PROPN	Norwalk
que	SCONJ	que
alors	ADV	alors
les	DET	le
à	ADP	à
paie	VERB	payer
,	PUNCT	,
concentrer	VERB	concentrer
et	CCONJ	et
c'	PRON	ce
est	AUX	être
pas	ADV	pas
Personne	PRON	personne
quand	SCONJ	quand
me	PRON	me
il	PRON	il
.	PUNCT	.
ne	ADV	ne
mieux	ADV	mieux
qui	PRON	qui
chacun	PRON	chacun
n'	ADV	n'
Tucker	NOUN	tucker
on	PRON	on
dit	VERB	dire
Kelly	PROPN	Kelly
lui	PRON	lui
doit	VERB	devoir
...	PUNCT	...
sujet	NOUN	sujet
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
rachète	ADJ	rachèt
paie	VERB	payer
salaire	NOUN	salaire
l'	DET	le
Pourquoi	ADV	pourquoi
pas	ADV	pas
te	CCONJ	te
de	ADP	de
marcher	VERB	marcher
Ça	PROPN	Ça
la	DET	le
nausée	NOUN	nausée
je	PRON	je
bien	ADV	bien
.	PUNCT	.
-t	PART	-t
risque	VERB	risque
Norwalk	NOUN	norwalk
fallu	NOUN	fallu
oublier	NOUN	oublier
ne	ADV	ne
vois	VERB	voir
à	ADP	à
toi	NOUN	toi
je	PRON	je
aussi	ADV	aussi
que	SCONJ	que
Norwalk	X	Norwalk
-il	PRON	il
Chaque	DET	chaque
,	PUNCT	,
commençait	VERB	commencer
—	PUNCT	—
.	PUNCT	.
fois	NOUN	fois
,	PUNCT	,
Réalités?Ça	NOUN	réalités?ça
de	ADP	de
a	AUX	avoir
écrit	VERB	écrire
j'	PRON	je
que	SCONJ	que
mon	DET	mon
en	PRON	en
ai	AUX	avoir
!	PUNCT	!
,	PUNCT	,
bulletin	NOUN	bulletin
très	ADV	très
Publicationssur	ADP	publicationssur
visons	VERB	viser
nous	PRON	nous
Réalitésest	NOUN	réalitésest
meilleur	ADJ	meilleur
des	DET	un
pour	ADP	pour
pour	ADP	pour
.	PUNCT	.
tous	ADJ	tout
on	PRON	on
à	ADP	à
avoir	AUX	avoir
de	ADP	de
publicitaires	NOUN	publicitaire
augmentaient	ADV	augmentaient
l'	DET	le
prix	NOUN	prix
ta	DET	ton
dernier	ADJ	dernier
reportage	NOUN	reportage
les	DET	le
répondre	VERB	répondre
que	SCONJ	que
Les	DET	le
tous	ADJ	tout
ventes	NOUN	vente
.	PUNCT	.
Nous	PRON	nous
an	NOUN	an
—	PUNCT	—
un	PRON	un
lectorat	NOUN	lectorat
et	CCONJ	et
fait	VERB	faire
Tu	PROPN	Tu
raflait	VERB	rafler
un	DET	un
le	DET	le
bénéfices	NOUN	bénéfice
à	ADP	à
des	ADP	de
viens	NOUN	vien
,	PUNCT	,
rares	ADJ	rare
magazines	ADJ	magazine
.	PUNCT	.
.	PUNCT	.
Kelly	PROPN	Kelly
les	DET	le
question	NOUN	question
il	PRON	il
.	PUNCT	.
du	ADP	de
,	PUNCT	,
de	ADP	de
d'	ADP	de
convoitent	ADJ	convoitent
journalistes	ADJ	journaliste
vers	ADP	vers
des	DET	un
rehausser	VERB	rehausser
son	DET	son
nous	PRON	nous
.	PUNCT	.
dû	VERB	devoir
:	PUNCT	:
manque	NOUN	manque
nous	PRON	nous
est	AUX	être
et	CCONJ	et
par	ADP	par
répéter	VERB	répéter
tourné	VERB	tourner
avons	AUX	avoir
,	PUNCT	,
même	ADJ	même
normal	ADJ	normal
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
pays	NOUN	pays
soit	AUX	être
refuser	VERB	refuser
image	NOUN	image
cesse	VERB	cesse
annonceurs	NOUN	annonceur
se	PRON	se
espace	NOUN	espace
marque	NOUN	marque
que	SCONJ	que
.	PUNCT	.
de	ADP	de
les	DET	le
Norwalk	NOUN	norwalk
voulait	VERB	vouloir
on	PRON	on
Nous	PRON	nous
meilleurs	NOUN	meilleur
nous	PRON	nous
avons	VERB	avoir
tous	ADJ	tout
Malloy	PROPN	Malloy
requin	NOUN	requin
Yorker	PROPN	Yorker
l'	DET	le
le	DET	le
Kelly	PROPN	Kelly
de	ADP	de
a	AUX	avoir
—	PUNCT	—
notre	DET	notre
sens	NOUN	sens
ça	PRON	cela
quand	SCONJ	quand
méprisante	ADJ	méprisant
et	CCONJ	et
racheter	VERB	racheter
rien	PRON	rien
haute	NOUN	haute
,	PUNCT	,
bien	ADV	bien
ne	ADV	ne
n'	ADV	n'
une	DET	un
peut	VERB	pouvoir
moue	NOUN	moue
moralité	NOUN	moralité
à	ADP	à
notre	DET	notre
The	X	The
pourri	VERB	pourrir
personne	ADJ	personn
.	PUNCT	.
de	ADP	de
Atlantic	PROPN	Atlantic
Norwalk	NOUN	norwalk
,	PUNCT	,
New	PROPN	New
honneur	NOUN	honneur
changera	VERB	changer
.	PUNCT	.
,	PUNCT	,
sa	DET	son
—	PUNCT	—
Malgré	ADP	malgré
ou	CCONJ	ou
eut	VERB	avoir
réputation	NOUN	réputation
démissionné	VERB	démissionner
à	ADP	à
,	PUNCT	,
a	AUX	avoir
que	SCONJ	que
encaisser	VERB	encaisser
nous	PRON	nous
sagement	ADV	sagement
il	PRON	il
parce	SCONJ	parce
peu	ADV	peu
Witt	PROPN	Witt
!	PUNCT	!
C'	PRON	ce
de	ADP	de
bébé	NOUN	bébé
,	PUNCT	,
l'	PRON	l'
continuons	VERB	continuer
.	PUNCT	.
fait	VERB	faire
notre	DET	notre
nous	PRON	nous
chaque	DET	chaque
un	DET	un
le	DET	le
Et	CCONJ	et
journal	NOUN	journal
.	PUNCT	.
Réalités	NOUN	réalité
avons	AUX	avoir
à	ADP	à
nous	PRON	nous
est	AUX	être
ironisa	ADJ	ironisa
est	AUX	être
la	DET	le
.	PUNCT	.
c'	PRON	ce
à	ADP	à
qui	PRON	qui
mois	NOUN	mois
y	PRON	y
fin	NOUN	fin
C'	PRON	ce
sommes	AUX	être
attachés	NOUN	attaché
salaire	NOUN	salaire
racheté	VERB	racheter
est	AUX	être
notre	DET	notre
—	PUNCT	—
édition	NOUN	édition
On	PRON	on
-	NOUN	-
éditeur	NOUN	éditeur
de	ADP	de
de	ADP	de
.	PUNCT	.
temps	NOUN	temps
railla	ADJ	railla
pas	ADV	pas
est	AUX	être
pas	ADV	pas
—	PUNCT	—
.	PUNCT	.
de	ADP	de
une	DET	un
griffes	NOUN	griffe
plus	ADV	plus
place	NOUN	place
de	ADP	de
aux	ADP	à
D'	ADP	de
,	PUNCT	,
va	VERB	aller
abandonner	VERB	abandonner
tout	ADV	tout
dans	ADP	dans
l'	DET	le
bonne	ADJ	bon
sais	VERB	savoir
ci	NOUN	ci
Chicago	PROPN	Chicago
même	ADV	même
évident	ADJ	évident
tout	ADV	tout
l'	PRON	l'
à	ADP	à
l'	DET	le
trouver	VERB	trouver
autant	ADV	autant
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
il	PRON	il
n'	ADV	n'
Je	PRON	je
ne	ADV	ne
ces	DET	ce
Witt	PROPN	Witt
que	SCONJ	que
n'	ADV	n'
Une	DET	un
Sais	VERB	savoir
pour	ADP	pour
sais	VERB	savoir
de	ADP	de
—	PUNCT	—
Je	PRON	je
minable	NOUN	minable
sera	AUX	être
journaliste	NOUN	journaliste
de	ADP	de
nous	PRON	nous
Kelly	PROPN	Kelly
Ce	PRON	ce
qui	PRON	qui
fierté	NOUN	fierté
avec	ADP	avec
dois	VERB	devoir
Réalitéssi	PROPN	Réalitéssi
une	DET	un
faire	AUX	faire
un	DET	un
place	NOUN	place
longtemps	ADV	longtemps
?	PUNCT	?
faire	VERB	faire
