et	CCONJ	et
.	PUNCT	.
elle	PRON	lui
l'	DET	le
le	DET	le
table	NOUN	table
1	NUM	1
qu'	PRON	qu'
un	DET	un
,	PUNCT	,
pouvait	VERB	pouvoir
tranquillement	ADV	tranquillement
une	DET	un
presque	ADV	presque
du	ADP	de
volontaire	ADJ	volontaire
sa	DET	son
.	PUNCT	.
le	DET	le
homme	NOUN	homme
à	ADP	à
main	NOUN	main
d'	ADP	de
un	DET	un
seul	ADJ	seul
coin	NOUN	coin
nez	NOUN	nez
dominateur	ADJ	dominateur
,	PUNCT	,
son	DET	son
occupait	VERB	occuper
yeux	NOUN	oeil
restaurant	NOUN	restaurant
détailler	VERB	détailler
café	NOUN	café
tout	ADV	tout
les	DET	le
,	PUNCT	,
profil	NOUN	profil
distraite	ADJ	distrait
,	PUNCT	,
d'	ADP	de
la	DET	le
Gail	NOUN	gail
Lawson	PROPN	Lawson
remuait	VERB	remuer
Dans	ADP	dans
place	NOUN	place
noir	NOUN	noir
De	ADP	de
.	PUNCT	.
intense	ADJ	intense
.	PUNCT	.
dessin	NOUN	dessin
,	PUNCT	,
que	SCONJ	que
aussi	ADV	aussi
entier	NOUN	entier
mine	NOUN	mine
.	PUNCT	.
suis	AUX	être
toujours	ADV	toujours
n'	ADV	n'
conspiratrice	NOUN	conspirateur
la	DET	le
remarquer	VERB	remarquer
avait	VERB	avoir
à	ADP	à
,	PUNCT	,
de	ADP	de
y	PRON	y
arrivait	VERB	arriver
une	DET	un
celui	PRON	celui
n'	ADV	n'
de	ADP	de
son	DET	son
fiancé	NOUN	fiancé
Harry	PROPN	Harry
bouche	NOUN	bouche
—	PUNCT	—
prit	VERB	prendre
chevelure	NOUN	chevelure
là	ADV	là
qu'	PRON	qu'
Il	PRON	il
Gail	NOUN	gail
le	DET	le
fit	VERB	faire
pas	ADV	pas
Gail	NOUN	gail
elle	PRON	lui
dans	ADP	dans
,	PUNCT	,
je	PRON	je
la	DET	le
que	SCONJ	que
son	DET	son
de	ADP	de
cerner	VERB	cerner
Gail	NOUN	gail
se	PRON	se
Comment	ADV	comment
homme	NOUN	homme
espère	VERB	espérer
observer	VERB	observer
et	CCONJ	et
—	PUNCT	—
mains	NOUN	main
J'	PRON	je
Professionnellement	ADV	professionnellement
,	PUNCT	,
table	NOUN	table
son	DET	son
.	PUNCT	.
Avec	ADP	avec
d'	ADP	de
chuchota	NOUN	chuchota
emphase	NOUN	emphase
qui	PRON	qui
train	NOUN	train
voisine	ADJ	voisin
deux	NUM	deux
vers	ADP	vers
en	ADP	en
lui	PRON	lui
comique	ADJ	comique
,	PUNCT	,
une	DET	un
assis	ADJ	assis
ça	PRON	cela
les	DET	le
—	PUNCT	—
j'	PRON	je
à	ADP	à
étais	VERB	être
plaça	VERB	placer
l'	DET	le
!	PUNCT	!
,	PUNCT	,
,	PUNCT	,
la	DET	le
-elle	PRON	lui
observer	VERB	observer
?	PUNCT	?
est	AUX	être
pencha	VERB	pencher
.	PUNCT	.
sur	ADP	sur
-t	PART	-t
rassure	VERB	rassure
:	PUNCT	:
d'	ADP	de
âme	NOUN	âme
toujours	ADV	toujours
que	SCONJ	que
cœur	NOUN	cœur
béate	ADJ	béat
suis	AUX	être
amour	NOUN	amour
la	DET	le
vie	NOUN	vie
Harry	PROPN	Harry
de	ADP	de
,	PUNCT	,
.	PUNCT	.
bien	ADV	bien
fiancée	NOUN	fiancée
Voilà	VERB	voilà
t'	PRON	te
sais	NOUN	sai
considéra	VERB	considérer
qui	PRON	qui
Bien	ADV	bien
Tu	PRON	tu
sûr	ADJ	sûr
qui	PRON	qui
me	PRON	me
—	PUNCT	—
tout	ADV	tout
un	DET	un
moi	PRON	moi
mon	DET	mon
a	AUX	avoir
entière	ADJ	entier
.	PUNCT	.
,	PUNCT	,
mon	DET	mon
souri	ADJ	souri
sa	DET	son
garçon	NOUN	garçon
!	PUNCT	!
la	DET	le
à	ADP	à
qui	PRON	qui
appartient	VERB	appartenir
—	PUNCT	—
satisfaction	NOUN	satisfaction
jaloux	NOUN	jaloux
avec	ADP	avec
premiers	ADJ	premier
Domino	PROPN	Domino
.	PUNCT	.
Pour	ADP	pour
faire	VERB	faire
:	PUNCT	:
Drake	PROPN	Drake
moi	PRON	moi
pas	ADV	pas
répondre	VERB	répondre
sur	ADP	sur
lui	PRON	lui
plutôt	ADV	plutôt
!	PUNCT	!
avant	ADP	avant
mais	CCONJ	mais
léger	ADJ	léger
,	PUNCT	,
ventes	NOUN	vente
l'	DET	le
ton	NOUN	ton
en	ADP	en
sont	AUX	être
Gail	NOUN	gail
un	DET	un
soupira	VERB	soupirer
des	ADP	de
deux	NUM	deux
les	DET	le
,	PUNCT	,
J'	PRON	je
ne	ADV	ne
de	ADP	de
pour	ADP	pour
nous	PRON	nous
d'	ADP	de
livres	NOUN	livre
—	NOUN	—
fortune	NOUN	fortune
froid	ADJ	froid
avais	VERB	avoir
serions	VERB	être
Domino	PROPN	Domino
pourtant	ADV	pourtant
misé	VERB	miser
instant	NOUN	instant
!	PUNCT	!
et	CCONJ	et
mirobolantes	VERB	mirobolanter
Drake	PROPN	Drake
vraiment	ADV	vraiment
Pourtant	ADV	pourtant
héros	NOUN	héros
.	PUNCT	.
que	SCONJ	que
—	PUNCT	—
—	PUNCT	—
mon	DET	mon
la	DET	le
commandé	VERB	commander
trois	NUM	trois
livres	NOUN	livre
lecteurs	NOUN	lecteur
d'	ADP	de
t'	PRON	te
vente	NOUN	vente
?	PUNCT	?
de	ADP	de
deux	NUM	deux
D'	ADP	de
livre	NOUN	livre
ont	VERB	avoir
ai	VERB	avoir
ton	NOUN	ton
troisième	ADJ	troisième
éditeur	NOUN	éditeur
premiers	ADJ	premier
démarre	ADJ	démarr
des	ADP	de
Dan	NOUN	dan
.	PUNCT	.
J'	PRON	je
a	AUX	avoir
pour	ADP	pour
,	PUNCT	,
un	DET	un
.	PUNCT	.
Oui	PROPN	Oui
la	DET	le
besoin	NOUN	besoin
Il	PRON	il
les	DET	le
pour	ADP	pour
faudra	VERB	falloir
bien	ADV	bien
après	ADP	après
,	PUNCT	,
connaître	VERB	connaître
chance	NOUN	chance
temps	NOUN	temps
—	PUNCT	—
un	DET	un
toutes	DET	tout
trouver	VERB	trouver
ne	ADV	ne
est	AUX	être
avoir	VERB	avoir
as	NOUN	as
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
puisque	SCONJ	puisque
,	PUNCT	,
ne	ADV	ne
au	ADP	au
pas	ADV	pas
problème	NOUN	problème
livre	NOUN	livre
temps	NOUN	temps
le	DET	le
le	DET	le
ce	DET	ce
effectivement	ADV	effectivement
qui	PRON	qui
,	PUNCT	,
croit	VERB	croire
complet	ADJ	complet
.	PUNCT	.
à	ADP	à
pour	ADP	pour
tes	NOUN	te
,	PUNCT	,
succès	NOUN	succès
tu	ADP	tu
l'	DET	le
Maintenant	ADV	maintenant
Si	SCONJ	si
de	ADP	de
travailles	VERB	travailler
troisième	ADJ	troisième
journées	VERB	journer
écrire	NOUN	écrire
—	PUNCT	—
pour	ADP	pour
cela	PRON	cela
temps	NOUN	temps
éditeur	NOUN	éditeur
Tu	ADP	tu
je	PRON	je
.	PUNCT	.
tout	ADV	tout
pas	ADV	pas
rédaction	NOUN	rédaction
ma	DET	mon
me	PRON	me
même	ADV	même
suis	AUX	être
la	DET	le
une	DET	un
,	PUNCT	,
le	DET	le
journal	NOUN	journal
lectrice	NOUN	lecteur
certaine	ADJ	certain
horaires	NOUN	horaire
à	ADP	à
quand	ADV	quand
correctrice	NOUN	correcteur
abri	NOUN	abri
vie	NOUN	vie
faut	VERB	falloir
et	CCONJ	et
permettant	VERB	permettre
à	ADP	à
me	PRON	me
des	DET	un
du	ADP	de
besoin	NOUN	besoin
l'	DET	le
Mon	DET	mon
de	ADP	de
me	PRON	me
stricts	ADJ	strict
local	ADJ	local
travail	NOUN	travail
il	PRON	il
en	ADP	en
gagner	VERB	gagner
mettent	VERB	mettre
de	ADP	de
quelques	DET	quelque
de	ADP	de
manuscrits	NOUN	manuscrit
articles	NOUN	article
dans	ADP	dans
.	PUNCT	.
astreinte	ADJ	astreindre
et	CCONJ	et
indépendance	NOUN	indépendance
de	ADP	de
te	VERB	te
Néanmoins	ADV	néanmoins
un	DET	un
me	PRON	me
de	ADP	de
qu'	PRON	qu'
.	PUNCT	.
et	CCONJ	et
soirées	VERB	soiréer
.	PUNCT	.
Alors	ADV	alors
,	PUNCT	,
travail	NOUN	travail
écrire	NOUN	écrire
terriblement	ADV	terriblement
un	DET	un
ce	PRON	ce
,	PUNCT	,
emploi	NOUN	emploi
faudrait	VERB	falloir
,	PUNCT	,
peu	ADV	peu
tes	NOUN	te
c'	PRON	ce
fait	NOUN	fait
est	AUX	être
.	PUNCT	.
Il	PRON	il
véritable	ADJ	véritable
c'	PRON	ce
salaire	NOUN	salaire
toutes	ADJ	tout
accaparant	ADJ	accaparant
essaie	VERB	essayer
est	AUX	être
En	ADP	en
resterait	VERB	rester
il	PRON	il
trouver	VERB	trouver
absorbant	VERB	absorber
confortable	ADJ	confortable
un	DET	un
d'	ADP	de
!	PUNCT	!
—	PUNCT	—
,	PUNCT	,
,	PUNCT	,
obligations	NOUN	obligation
pour	ADP	pour
pas	ADV	pas
mais	CCONJ	mais
Manifestement	ADV	manifestement
autres	ADJ	autre
vraisemplois	NOUN	vraisemploi
.	PUNCT	.
catégorie	NOUN	catégorie
.	PUNCT	.
d'	DET	d'
jamais	ADV	jamais
ne	ADV	ne
leurs	DET	leur
opinions	NOUN	opinion
,	PUNCT	,
comprendre	VERB	comprendre
,	PUNCT	,
était	AUX	être
la	DET	le
point	NOUN	point
garçon	NOUN	garçon
!	PUNCT	!
dans	ADP	dans
sur	ADP	sur
arriverait	VERB	arriver
pour	ADP	pour
pas	ADV	pas
Harry	PROPN	Harry
charmant	ADJ	charmant
,	PUNCT	,
un	DET	un
fois	NOUN	fois
,	PUNCT	,
n'	ADV	n'
écrire	ADJ	écrir
divergeaient	NOUN	divergeaient
de	ADP	de
rentrait	VERB	rentraire
il	PRON	il
des	ADP	de
Harry	PROPN	Harry
ce	DET	ce
Gail	NOUN	gail
plus	ADV	plus
sur	ADP	sur
constatait	VERB	constater
que	SCONJ	que
Une	DET	un
,	PUNCT	,
bien	ADV	bien
à	ADP	à
comme	ADP	comme
.	PUNCT	.
le	DET	le
Lord	PROPN	Lord
était	AUX	être
opérait	VERB	opérer
Gail	NOUN	gail
que	SCONJ	que
.	PUNCT	.
c'	PRON	ce
né	VERB	naître
détective	ADJ	détectiv
amateur	NOUN	amateur
un	DET	un
le	DET	le
Domino	PROPN	Domino
l'	DET	le
de	ADP	de
chair	NOUN	chair
sophistiqué	ADJ	sophistiquer
pour	ADP	pour
imagination	NOUN	imagination
être	NOUN	être
lui	PRON	lui
de	ADP	de
l'	DET	le
Drake	PROPN	Drake
