s'	PRON	se
du	ADP	de
qui	PRON	qui
la	PRON	le
s'	PRON	se
ai	AUX	avoir
Enfoncement	PROPN	Enfoncement
vent	NOUN	vent
les	DET	le
je	PRON	je
même	ADV	même
lorsqu'	SCONJ	lorsque
dans	ADP	dans
de	ADP	de
loin	ADV	loin
des	ADP	de
j	AUX	j
des	ADP	de
et	CCONJ	et
mer	VERB	mer
,	PUNCT	,
les	DET	le
travers	NOUN	travers
Du	ADP	de
souvienne	VERB	souvenir
plus	ADV	plus
qu'	SCONJ	que
on	PRON	on
rivages	NOUN	rivage
Mêlé	NOUN	mêlé
rie	PRON	rie
à	ADP	à
que	SCONJ	que
on	PRON	on
au	ADP	au
me	PRON	me
avance	VERB	avancer
entendu	VERB	entendre
éloigne	VERB	éloigne
aiguilles	NOUN	aiguille
cesse	VERB	cesse
vent	NOUN	vent
.	PUNCT	.
pas	ADV	pas
,	PUNCT	,
.	PUNCT	.
Boucan,1892	NOUN	boucan,1892
au	ADP	au
champs	NOUN	champ
filaos	NOUN	filao
loin	NOUN	loin
,	PUNCT	,
je	PRON	je
entends	NOUN	entend
,	PUNCT	,
Je	PRON	je
canne	NOUN	canne
où	PRON	où
de	ADP	de
a	AUX	avoir
lent	ADV	lent
,	PUNCT	,
de	ADP	de
,	PUNCT	,
bruit	NOUN	bruit
vagues	NOUN	vague
.	PUNCT	.
je	PRON	je
se	PRON	se
maintenant	ADV	maintenant
enfance	NOUN	enfance
moi	PRON	moi
barrière	NOUN	barrière
est	AUX	être
mon	DET	mon
ce	DET	ce
brisent	VERB	briser
au	ADP	au
qui	PRON	qui
au	ADP	au
vais	VERB	aller
la	DET	le
qui	PRON	qui
inlassable	ADJ	inlassable
plus	ADV	plus
hercé	VERB	hercer
sur	ADP	sur
l'	DET	le
des	DET	un
,	PUNCT	,
.	PUNCT	.
profond	ADJ	profond
emporte	VERB	emporte
Le	DET	le
bruit	NOUN	bruit
,	PUNCT	,
c	NOUN	c
partout	ADV	partout
corail	NOUN	corail
l'	PRON	l'
camp	NOUN	camp
qui	PRON	qui
je	PRON	je
jour	NOUN	jour
sueur	NOUN	sueur
Pas	ADV	pas
et	CCONJ	et
que	SCONJ	que
moustiquaire	NOUN	moustiquaire
de	ADP	de
dos	NOUN	dos
mouillé	VERB	mouiller
la	DET	le
cherchant	VERB	chercher
le	DET	le
assis	VERB	asseoir
.	PUNCT	.
pas	ADV	pas
mon	DET	mon
sans	ADP	sans
Noire	PROPN	Noire
mer	VERB	mer
la	DET	le
mourir	VERB	mourir
Rivière	PROPN	Rivière
sur	ADP	sur
lit	NOUN	lit
de	ADP	de
dans	ADP	dans
j	ADV	j
m'	PRON	me
écartant	VERB	écarter
sable	NOUN	sable
ce	DET	ce
aille	ADJ	aill
la	DET	le
,	PUNCT	,
un	DET	un
,	PUNCT	,
.	PUNCT	.
éveille	NOUN	éveille
à	ADP	à
nuit	NOUN	nuit
,	PUNCT	,
le	DET	le
que	SCONJ	que
viennent	VERB	venir
sans	ADP	sans
et	CCONJ	et
une	DET	un
,	PUNCT	,
percevoir	VERB	percevoir
dans	ADP	dans
comprends	VERB	comprendre
en	ADP	en
je	PRON	je
à	ADP	à
et	CCONJ	et
recevoir	VERB	recevoir
plein	NOUN	plein
mes	DET	mon
sens	NOUN	sens
elle	PRON	lui
Les	DET	le
inquiet	NOUN	inquiet
pour	ADP	pour
que	PRON	que
une	DET	un
l'	PRON	l'
pas	ADV	pas
désir	NOUN	désir
comme	ADP	comme
la	PRON	le
marée	NOUN	marée
un	DET	un
,	PUNCT	,
entendre	VERB	entendre
arriver	VERB	arriver
mieux	ADV	mieux
Je	PRON	je
l'	DET	le
mieux	ADV	mieux
,	PUNCT	,
sont	AUX	être
pense	VERB	pense
d'	ADP	de
pour	ADP	pour
ne	ADV	ne
éveil	NOUN	éveil
à	ADP	à
obscurité	NOUN	obscurité
à	ADP	à
humaine	ADJ	humain
,	PUNCT	,
tous	ADJ	tout
.	PUNCT	.
la	DET	le
,	PUNCT	,
.	PUNCT	.
personne	NOUN	personne
pleine	NOUN	pleine
géantes	ADJ	géant
.	PUNCT	.
,	PUNCT	,
elle	PRON	lui
le	DET	le
vagues	NOUN	vague
chaudière	ADJ	chaudièr
glisse	VERB	glisse
récifs	NOUN	récif
elle	PRON	lui
bouge	NOUN	bouge
la	DET	le
du	ADP	de
dessus	NOUN	dessus
.	PUNCT	.
dars	ADJ	dar
1	NUM	1
la	DET	le
et	CCONJ	et
écroulent	NOUN	écroulent
terre	NOUN	terre
me	PRON	me
par	ADP	par
s	NOUN	s
-	NOUN	-
lune	NOUN	lune
est	AUX	être
Quand	SCONJ	quand
bruit	NOUN	bruit
Je	PRON	je
je	PRON	je
les	DET	le
,	PUNCT	,
fait	AUX	faire
,	PUNCT	,
,	PUNCT	,
lagon	NOUN	lagon
respire	ADJ	respir
et	CCONJ	et
l'	DET	le
vibrer	VERB	vibrer
comité	ADJ	comité
entends	NOUN	entend
,	PUNCT	,
le	DET	le
bondissent	VERB	bondir
une	DET	un
hors	ADP	hors
air	NOUN	air
son	DET	son
sar	ADV	sar
je	PRON	je
le	DET	le
dans	ADP	dans
faire	AUX	faire
lit	NOUN	lit
,	PUNCT	,
escalade	VERB	escalade
prenant	VERB	prendre
les	DET	le
veux	NOUN	veu
je	PRON	je
rebord	NOUN	rebord
bruit	NOUN	bruit
noir	NOUN	noir
pas	ADV	pas
Laure	PROPN	Laure
qu'	SCONJ	que
plancher	DET	plancher
ne	ADV	ne
sais	VERB	savoir
J'	PRON	je
faire	VERB	faire
à	ADP	à
de	ADP	de
elle	PRON	lui
retient	VERB	retenir
et	CCONJ	et
.	PUNCT	.
sais	VERB	savoir
.	PUNCT	.
,	PUNCT	,
ouverts	VERB	ouvrir
Pourtant	ADV	pourtant
garde	NOUN	garde
souffle	NOUN	souffle
craquer	VERB	craquer
le	DET	le
que	SCONJ	que
qu	SCONJ	qu
,	PUNCT	,
dort	VERB	dormir
elle	PRON	lui
a	VERB	avoir
vermoulu	VERB	vermoulu
s	AUX	s
pas	ADV	pas
le	DET	le
ne	ADV	ne
devine	VERB	devine
la	DET	le
,	PUNCT	,
,	PUNCT	,
