colline	NOUN	colline
Cette	DET	ce
de	ADP	de
,	PUNCT	,
mes	DET	mon
d'	ADP	de
I	ADJ	i
quais	NOUN	quai
Il	PRON	il
est	AUX	être
habitais	VERB	habiter
encore	ADV	encore
feuilles	NOUN	feuille
que	SCONJ	que
l'	DET	le
,	PUNCT	,
que	SCONJ	que
la	DET	le
début	NOUN	début
avec	ADP	avec
tôt	ADV	tôt
mortes	NOUN	mort
.	PUNCT	.
-là	PRON	-là
plus	ADV	plus
,	PUNCT	,
de	ADP	de
la	DET	le
au	ADP	au
pluie	NOUN	pluie
la	DET	le
Fourvière	NOUN	fourvière
automne	NOUN	automne
chez	ADP	chez
,	PUNCT	,
venu	VERB	venir
de	ADP	de
habitude	NOUN	habitude
parents	NOUN	parent
,	PUNCT	,
Saône	PROPN	Saône
les	DET	le
sur	ADP	sur
.	PUNCT	.
J'	PRON	je
la	DET	le
année	NOUN	année
les	DET	le
fallait	VERB	falloir
brume	NOUN	brume
en	ADP	en
trouve	VERB	trouve
Paquet	PROPN	Paquet
mois	NOUN	mois
de	ADP	de
pour	ADP	pour
je	PRON	je
-	PUNCT	-
,	PUNCT	,
,	PUNCT	,
économisé	VERB	économiser
l'	DET	le
de	ADP	de
sud	NOUN	sud
En	ADP	en
salaire	NOUN	salaire
engagée	VERB	engager
Soierie	PROPN	Soierie
J'	PRON	je
comme	ADP	comme
été	AUX	être
Rayonne	PROPN	Rayonne
Torremolinos	PROPN	Torremolinos
travail	NOUN	travail
avais	VERB	avoir
.	PUNCT	.
étais	AUX	être
partie	VERB	partir
.	PUNCT	.
à	ADP	à
,	PUNCT	,
à	ADP	à
janvier	NOUN	janvier
argent	NOUN	argent
la	DET	le
j'	PRON	je
vacances	NOUN	vacance
six	NUM	six
mon	DET	mon
et	CCONJ	et
et	CCONJ	et
Société	PROPN	Société
place	NOUN	place
j'	PRON	je
avais	VERB	avoir
dactylo	ADV	dactylo
du	ADP	de
Croix	PROPN	Croix
au	ADP	au
,	PUNCT	,
plusieurs	DET	plusieurs
l'	DET	le
avais	VERB	avoir
la	DET	le
une	DET	un
France	PROPN	France
de	ADP	de
j'	PRON	je
mari	NOUN	mari
ans	NOUN	an
une	DET	un
femme	NOUN	femme
.	PUNCT	.
s'	PRON	se
avais	VERB	avoir
,	PUNCT	,
la	DET	le
plage	NOUN	plage
vivait	VERB	vivre
première	ADJ	premier
quittais	VERB	quitter
Sur	ADP	sur
son	DET	son
.	PUNCT	.
je	PRON	je
J'	PRON	je
là	ADV	là
depuis	ADP	depuis
qui	PRON	qui
de	ADP	de
fait	VERB	faire
