.	PUNCT	.
fois	NOUN	fois
tenté	VERB	tenter
été	AUX	être
et	CCONJ	et
ç'	PRON	ç'
Une	DET	un
,	PUNCT	,
d'	ADP	de
pas	ADV	pas
c'	PRON	ce
était	AUX	être
je	PRON	je
,	PUNCT	,
n'	ADV	n'
je	PRON	je
,	PUNCT	,
avancé	VERB	avancer
d'	ADP	de
plus	ADV	plus
retenir	VERB	retenir
me	PRON	me
essayé	VERB	essayer
plus	ADV	plus
me	PRON	me
je	PRON	je
être	AUX	être
rabroué	VERB	rabrouer
risquais	VERB	risquer
que	SCONJ	que
,	PUNCT	,
ai	AUX	avoir
ai	AUX	avoir
imprudent	VERB	impruder
moi	PRON	moi
pu	VERB	pouvoir
J'	PRON	je
a	AUX	avoir
que	SCONJ	que
suis	AUX	être
sachant	VERB	savoir
,	PUNCT	,
peu	ADV	peu
pourtant	ADV	pourtant
que	SCONJ	que
fort	ADV	fort
de	ADP	de
trop	ADV	trop
abord	NOUN	abord
un	DET	un
moi	PRON	moi
je	PRON	je
ne	ADV	ne
J'	PRON	je
demandé	VERB	demander
surprendre	NOUN	surprendre
comme	SCONJ	comme
pour	ADP	pour
n'	ADV	n'
approchant	VERB	approcher
Je	PRON	je
leur	PRON	leur
air	NOUN	air
pas	ADV	pas
en	ADP	en
ils	PRON	il
les	PRON	le
of	ADP	of
sentaient	VERB	sentir
ai	AUX	avoir
de	ADP	de
~~	ADJ	~~
ils	PRON	il
parfois	ADV	parfois
,	PUNCT	,
,	PUNCT	,
pas	ADV	pas
comme	ADP	comme
ne	ADV	ne
d'	ADP	de
pas	ADV	pas
s'	SCONJ	s'
m'	PRON	me
ai	AUX	avoir
un	DET	un
doucement	ADV	doucement
,	PUNCT	,
.	PUNCT	.
s'	SCONJ	s'
matter	VERB	matter
les	PRON	le
petit	ADJ	petit
naturel	ADJ	naturel
effaroucher	VERB	effaroucher
.	PUNCT	.
commencé	VERB	commencer
fais	VERB	faire
,	PUNCT	,
avaient	AUX	avoir
factet	NOUN	factet
faisant	ADP	faisant
,	PUNCT	,
ont	AUX	avoir
chose	NOUN	chose
petit	ADJ	petit
,	PUNCT	,
senti	ADJ	sentir
m'	PRON	me
comprend	VERB	comprendre
bizarre	NOUN	bizarre
,	PUNCT	,
d'	ADP	de
se	PRON	se
:	PUNCT	:
chose	NOUN	chose
sec	ADJ	sec
émanation	ADJ	émanation
eux	PRON	lui
comme	ADP	comme
qui	PRON	qui
vague	NOUN	vague
collait	VERB	coller
ne	ADV	ne
,	PUNCT	,
une	DET	un
quelque	DET	quelque
toujours	ADV	toujours
,	PUNCT	,
,	PUNCT	,
d'	ADP	de
rabroué	VERB	rabrouer
qui	PRON	qui
de	ADP	de
un	DET	un
elle	PRON	lui
,	PUNCT	,
celui	PRON	celui
quelque	DET	quelque
coup	NOUN	coup
à	ADP	à
tout	ADV	tout
et	CCONJ	et
Et	CCONJ	et
de	ADP	de
suite	NOUN	suite
sortait	VERB	sortir
parfois	ADV	parfois
ils	PRON	il
pas	ADV	pas
...	PUNCT	...
faux	ADJ	faux
Je	PRON	je
trouvez	VERB	trouver
la	DET	le
déjà	ADV	déjà
.	PUNCT	.
«	NOUN	«
Ne	ADV	ne
ces	DET	ce
,	PUNCT	,
,	PUNCT	,
ma	DET	mon
»	PUNCT	»
-là	PRON	-là
peu	ADV	peu
à	ADP	à
dit	VERB	dire
suis	AUX	être
,	PUNCT	,
trouve	NOUN	trouve
-ils	PRON	il
Je	PRON	je
dans	ADP	dans
trouve	NOUN	trouve
ont	AUX	avoir
un	DET	un
elle	PRON	lui
sonnait	VERB	sonner
