eurent	NOUN	eurent
L'	DET	le
l'	DET	le
noir	ADJ	noir
ils	PRON	il
le	DET	le
I	ADJ	i
en	ADP	en
une	DET	un
une	DET	un
précis	ADJ	précis
-	NOUN	-
Nouveau	ADJ	nouveau
étoile	NOUN	étoile
éclat	NOUN	éclat
nombreux	ADJ	nombreux
sur	ADP	sur
.	PUNCT	.
le	PRON	le
du	ADP	de
soutenable	ADJ	soutenable
-	PUNCT	-
qu'	SCONJ	que
projeta	ADJ	projeta
difficilement	VERB	difficilemer
un	DET	un
faire	VERB	faire
-	NOUN	-
à	ADP	à
sans	ADP	sans
air	NOUN	air
impression	NOUN	impression
d'	ADP	de
et	CCONJ	et
lune	NOUN	lune
intensité	NOUN	intensité
l'	DET	le
fond	NOUN	fond
furent	AUX	être
Mexique	PROPN	Mexique
à	ADP	à
du	ADP	de
qui	PRON	qui
cet	DET	ce
instant	NOUN	instant
ciel	NOUN	ciel
EXPLOSION	NOUN	explosion
regardèrent	VERB	regarder
nouvelle	ADJ	nouveau
Ceux	PRON	celui
tandis	ADV	tandis
était	AUX	être
gerbe	NOUN	gerbe
déplaça	VERB	déplacer
est	AUX	être
brillant	ADJ	brillant
s'	PRON	se
une	DET	un
une	DET	un
bleu	NOUN	bleu
sacrées	VERB	sacrer
à	ADP	à
Il	PRON	il
passant	VERB	passer
une	DET	un
Taos	PROPN	Taos
éclat	NOUN	éclat
naissance	NOUN	naissance
crût	VERB	croître
selon	ADP	selon
Cet	DET	ce
avait	AUX	avoir
taillait	VERB	tailler
épanouie	ADJ	épanoui
.	PUNCT	.
en	ADP	en
en	ADP	en
violence	NOUN	violence
et	CCONJ	et
cours	NOUN	cours
crépitante	VERB	crépiter
il	PRON	il
incandescence	NOUN	incandescence
l'	DET	le
nord-est-sud-ouest	ADJ	nord-est-sud-ouest
blanc	ADJ	blanc
qu'	SCONJ	que
se	PRON	se
de	ADP	de
pris	VERB	prendre
dans	ADP	dans
.	PUNCT	.
sein	NOUN	sein
les	DET	le
montagnes	NOUN	montagne
un	DET	un
momentanément	ADV	momentanément
d'	ADP	de
route	NOUN	route
au	ADP	au
les	DET	le
modo	VERB	modo
de	ADP	de
pueblos1	NOUN	pueblos1
et	CCONJ	et
les	DET	le
grosso	ADV	grosso
sud	NOUN	sud
yeux	NOUN	oeil
vallée	NOUN	vallée
éclat	NOUN	éclat
devint	NOUN	devint
grouillante	ADJ	grouillant
détournèrent	VERB	détourner
de	ADP	de
quand	SCONJ	quand
survolant	VERB	survoler
Fe	PROPN	Fe
radiation	NOUN	radiation
2	NUM	2
Grande	ADJ	grand
de	ADP	de
les	DET	le
la	DET	le
Rio	PROPN	Rio
verticale	NOUN	verticale
subite	VERB	subite
frappa	VERB	frapper
la	DET	le
et	CCONJ	et
Santa	PROPN	Santa
,	PUNCT	,
la	DET	le
insupportable	ADJ	insupportable
la	DET	le
du	ADP	de
rétines	NOUN	rétine
petits	ADJ	petit
,	PUNCT	,
Santa	PROPN	Santa
Fe	PROPN	Fe
cité	NOUN	cité
Juste	ADV	juste
,	PUNCT	,
l'	DET	le
poussiéreux	NOUN	poussiéreu
à	ADP	à
au	ADP	au
se	PRON	se
.	PUNCT	.
en	ADP	en
Mais	CCONJ	mais
de	ADP	de
flamboiement	NOUN	flamboiement
importe	VERB	importe
.	PUNCT	.
.	PUNCT	.
éclairage	NOUN	éclairage
Pueblo	PROPN	Pueblo
sommet	NOUN	sommet
Albuquerque	PROPN	Albuquerque
?	PUNCT	?
ou	CCONJ	ou
et	CCONJ	et
,	PUNCT	,
L'	DET	le
'	PUNCT	'
simplement	ADV	simplement
de	ADP	de
furieux	ADJ	furieux
dépassé	VERB	dépasser
sa	DET	son
du	ADP	de
à	ADP	à
était	AUX	être
présent	NOUN	présent
lumière	NOUN	lumière
fila	ADV	fila
arc	NOUN	arc
-il	PRON	il
l'	DET	le
au-delà	ADV	au-delà
le	DET	le
Peu	ADV	peu
épuisé	VERB	épuiser
actinique	ADJ	actinique
flèche	NOUN	flèche
Le	DET	le
.	PUNCT	.
brillance	NOUN	brillance
énorme	ADJ	énorme
-	PUNCT	-
par	ADP	par
ville	NOUN	ville
d'	ADP	de
était	AUX	être
,	PUNCT	,
l'	DET	le
Isleta	PROPN	Isleta
affaiblie	VERB	affaiblir
65	NUM	65
quelque	DET	quelque
une	DET	un
,	PUNCT	,
place	NOUN	place
obscurité	NOUN	obscurité
disparut	VERB	disparaître
d'	ADP	de
Fe	PROPN	Fe
del	ADJ	del
Sur	ADP	sur
la	DET	le
du	ADP	de
Charley	PROPN	Charley
la	DET	le
Pueblo	PROPN	Pueblo
L'	DET	le
Mexique	PROPN	Mexique
Miguel	PROPN	Miguel
envahissant	VERB	envahir
.	PUNCT	.
Nouveau	ADJ	nouveau
Santa	PROPN	Santa
au-dessus	ADV	au-dessus
4	NUM	4
de	ADP	de
,	PUNCT	,
à	ADP	à
San	PROPN	San
nouveau	ADJ	nouveau
marée	NOUN	marée
de	ADP	de
Mesa	PROPN	Mesa
vaste	ADJ	vaste
le	DET	le
Oro3	NOUN	oro3
kilomètres	NOUN	kilomètre
revint	VERB	revenir
du	ADP	de
-	PUNCT	-
qui	PRON	qui
ciel	NOUN	ciel
le	DET	le
remonte	VERB	remonte
.	PUNCT	.
de	ADP	de
part	NOUN	part
flot	NOUN	flot
,	PUNCT	,
comme	ADP	comme
-il	PRON	il
porta	VERB	porter
noir	NOUN	noir
en	ADP	en
.	PUNCT	.
la	DET	le
Estancia	PROPN	Estancia
bol	NOUN	bol
aiguë	ADJ	aigu
à	ADP	à
pour	ADP	pour
lui	PRON	lui
et	CCONJ	et
Étoile	NOUN	étoile
doigts	NOUN	doigt
Étoile	NOUN	étoile
dissipa	VERB	dissiper
tête	NOUN	tête
!	PUNCT	!
l'	DET	le
,	PUNCT	,
leva	VERB	lever
voix	NOUN	voix
instant	NOUN	instant
yeux	NOUN	oeil
ses	DET	son
chuchota	NOUN	chuchota
-t	PART	-t
filante	ADJ	filant
avec	ADP	avec
renversé	VERB	renverser
une	DET	un
repliés	ADJ	replier
sourire	VERB	sourire
ses	DET	son
ses	DET	son
d'	ADP	de
douleur	NOUN	douleur
«	NOUN	«
la	DET	le
de	ADP	de
jointures	ADJ	jointure
le	DET	le
la	DET	le
nuit	NOUN	nuit
écrasant	NOUN	écrasant
un	DET	un
grand	ADJ	grand
.	PUNCT	.
vers	ADP	vers
Il	PRON	il
!	PUNCT	!
vu	VERB	voir
,	PUNCT	,
traversaient	VERB	traverser
onze	NUM	onze
filante	ADJ	filant
avait	AUX	avoir
c'	PRON	ce
Il	PRON	il
des	ADP	de
météores	NOUN	météore
,	PUNCT	,
,	PUNCT	,
!	PUNCT	!
ciel	NOUN	ciel
avait	AUX	avoir
barbouillé	VERB	barbouiller
toute	DET	tout
la	DET	le
Il	PRON	il
un	DET	un
que	PRON	que
!	PUNCT	!
.	PUNCT	.
Belle	PROPN	Belle
vitesse	NOUN	vitesse
.	PUNCT	.
à	ADP	à
sur	ADP	sur
souvent	ADV	souvent
ce	PRON	ce
»	PUNCT	»
qui	PRON	qui
les	DET	le
rit	VERB	rire
connaissait	VERB	connaître
ans	NOUN	an
le	DET	le
visage	NOUN	visage
les	DET	le
os	NOUN	os
et	CCONJ	et
queues	NOUN	queue
échevelées	VERB	écheveler
peau	NOUN	peau
Belle	ADJ	bel
il	PRON	il
était	AUX	être
,	PUNCT	,
blancheur	NOUN	blancheur
