habitude	NOUN	habitude
1940	NUM	1940
pipe	NOUN	pipe
avec	ADP	avec
papillon	ADJ	papillon
nouveau	ADJ	nouveau
Octobre	NOUN	octobre
sa	DET	son
sa	DET	son
DRACULA	VERB	draculer
rajusta	VERB	rajuster
son	DET	son
menton	NOUN	menton
.	PUNCT	.
PETITE-FILLE	NOUN	petite-fille
,	PUNCT	,
le	DET	le
remettre	VERB	remettre
,	PUNCT	,
perplexité	NOUN	perplexité
considéra	VERB	considérer
pour	ADP	pour
tripota	NOUN	tripota
CHEZ	NOUN	chez
Lafarge	NOUN	lafarge
LA	DET	le
selon	ADP	selon
une	DET	un
enfin	ADV	enfin
se	PRON	se
en	ADP	en
,	PUNCT	,
DE	ADP	de
nœud	NOUN	nœud
malaxa	VERB	malaxer
Madame	NOUN	Monsieur
fâcheuse	ADJ	fâcheux
venu	VERB	venir
et	CCONJ	et
se	PRON	se
écume	NOUN	écume
le	DET	le
à	ADP	à
,	PUNCT	,
puis	CCONJ	puis
,	PUNCT	,
SOIRÉE	NOUN	soirée
bourrer	VERB	bourrer
braguette	NOUN	braguette
aussitôt	ADV	aussitôt
les	DET	le
ces	DET	ce
où	PRON	où
belge	NOUN	belge
rit	VERB	rire
à	ADP	à
Après	ADP	après
XIV	ADV	xiv
ai	AUX	avoir
consenti	ADJ	consentir
.	PUNCT	.
Madame	NOUN	Monsieur
épaisse	VERB	épaisse
!	PUNCT	!
Madame	NOUN	Monsieur
-	PUNCT	-
feu	NOUN	feu
dans	ADP	dans
y	PRON	y
.	PUNCT	.
le	DET	le
s'	PRON	se
J'	PRON	je
attouchements	ADJ	attouchement
mettre	VERB	mettre
,	PUNCT	,
est	VERB	être
,	PUNCT	,
Ça	PRON	cela
fumée	NOUN	fumée
les	DET	le
!	PUNCT	!
Lafarge	NOUN	lafarge
Lafarge	NOUN	lafarge
âcre	NOUN	âcre
à	ADP	à
enfants	NOUN	enfant
son	DET	son
:	PUNCT	:
éleva	VERB	élever
clubmen	NOUN	clubman
et	CCONJ	et
salon	NOUN	salon
étaient	AUX	être
réunis	VERB	réunir
Une	DET	un
innocents	NOUN	innocent
Louis	PROPN	Louis
trouvé	VERB	trouver
le	DET	le
avant	ADP	avant
Troppmann	PROPN	Troppmann
septième	NOUN	septième
du	ADP	de
bout	NOUN	bout
la	DET	le
Jean-Baptiste	PROPN	Jean-Baptiste
la	DET	le
son	DET	son
croisés	VERB	croiser
Se	PRON	se
trouvait	VERB	trouver
,	PUNCT	,
et	CCONJ	et
de	ADP	de
doigt	NOUN	doigt
regret	NOUN	regret
étant	VERB	être
un	DET	un
trois	NUM	trois
à	ADP	à
la	DET	le
de	ADP	de
sa	DET	son
abandonnant	VERB	abandonner
grille	NOUN	grille
assassin	NOUN	assassin
bien	ADV	bien
d'	ADP	de
-	PUNCT	-
un	DET	un
perpétration	NOUN	perpétration
mots	NOUN	mot
au	ADP	au
neuf	ADJ	neuf
,	PUNCT	,
la	DET	le
recherche	NOUN	recherche
du	ADP	de
seconde	ADJ	second
N	NOUN	n
lettres	NOUN	lettre
M	NOUN	m
-	PUNCT	-
:	PUNCT	:
horizontal	NOUN	horizontal
délaissa	VERB	délaisser
et	CCONJ	et
crime	NOUN	crime
un	DET	un
suspendit	VERB	suspendre
donné	VERB	donner
s'	PRON	se
Eventreur	PROPN	Eventreur
époque	NOUN	époque
Jack	PROPN	Jack
a	AUX	avoir
laquelle	PRON	lequel
qui	PRON	qui
collection	NOUN	collection
osé	ADJ	oser
pour	ADP	pour
velue	VERB	velue
réussissait	VERB	réussir
une	DET	un
(	PUNCT	(
.	PUNCT	.
d'	ADP	de
)	PUNCT	)
froissa	VERB	froisser
criminels	ADJ	criminel
la	DET	le
-	PROPN	-
nom	NOUN	nom
romans	NOUN	roman
à	ADP	à
.	PUNCT	.
Landru	PROPN	Landru
1940	NUM	1940
sa	DET	son
étalait	VERB	étaler
réussite	NOUN	réussite
célèbre	ADJ	célèbre
l'	DET	le
grosse	ADJ	gros
de	ADP	de
sa	DET	son
l'	DET	le
.	PUNCT	.
page	NOUN	page
un	DET	un
main	NOUN	main
calepin	NOUN	calepin
dessin	NOUN	dessin
pornographique	ADJ	pornographique
dans	ADP	dans
son	DET	son
sur	ADP	sur
ne	ADV	ne
un	DET	un
d'	ADP	de
,	PUNCT	,
,	PUNCT	,
découragé	VERB	décourager
un	DET	un
un	DET	un
jamais	ADV	jamais
marron	ADJ	marron
Lacenaire	PROPN	Lacenaire
et	CCONJ	et
au	ADP	au
crayon	NOUN	crayon
claqua	VERB	claquer
le	DET	le
sentimentale	ADJ	sentimental
rageur	ADJ	rageur
d'	ADP	de
d'	ADP	de
la	DET	le
.	PUNCT	.
cartes	NOUN	carte
son	DET	son
.	PUNCT	.
sa	DET	son
les	DET	le
vie	NOUN	vie
dernière	ADJ	dernier
page	NOUN	page
sur	ADP	sur
Vampire	PROPN	Vampire
immédiatement	ADV	immédiatement
devoir	NOUN	devoir
-	PUNCT	-
bleu	VERB	bleu
de	ADP	de
brouilla	VERB	brouiller
un	DET	un
geste	NOUN	geste
zéro	NOUN	zéro
cahier	NOUN	cahier
après	ADP	après
Düsseldorf	PROPN	Düsseldorf
à	ADP	à
avoir	AUX	avoir
tracé	VERB	tracer
Le	DET	le
comme	ADP	comme
couverture	ADJ	couvertur
,	PUNCT	,
écolier	NOUN	écolier
leurs	DET	leur
,	PUNCT	,
une	DET	un
petite-fille	NOUN	petite-fille
Tous	ADJ	tout
.	PUNCT	.
poète	ADJ	poète
d'	ADP	de
Lafarge	PROPN	Lafarge
un	DET	un
généreusement	VERB	généreusemer
gonflé	ADJ	gonflé
son	DET	son
Quant	ADV	quant
trouvaille	NOUN	trouvaille
entre	ADP	entre
escalope	NOUN	escalope
et	CCONJ	et
