police	NOUN	police
PREMIER	ADJ	premier
de	ADP	de
c'	PRON	ce
commissaire	NOUN	commissaire
apparent	ADJ	apparent
CHAPITRE	NOUN	chapitre
café	NOUN	café
n'	ADV	n'
une	DET	un
imposant	NOUN	imposant
bureau	NOUN	bureau
hommes	NOUN	homme
pas	ADV	pas
fil	NOUN	fil
premier	ADJ	premier
but	NOUN	but
pour	ADP	pour
du	ADP	de
était	AUX	être
sans	ADP	sans
,	PUNCT	,
,	PUNCT	,
coup	NOUN	coup
conversation	NOUN	conversation
de	ADP	de
Central	NOUN	central
de	ADP	de
étage	NOUN	étage
que	SCONJ	que
dix	NUM	dix
Amsterdam	NOUN	amsterdam
interrompit	ADV	interrompit
du	ADP	de
les	DET	le
agréable	ADJ	agréable
d'	ADP	de
;	PUNCT	;
au	ADP	au
réunis	VERB	réunir
heures	NOUN	heure
trois	NUM	trois
cérémonie	NOUN	cérémonie
dans	ADP	dans
l'	DET	le
seulement	ADV	seulement
Le	DET	le
du	ADP	de
étaient	AUX	être
la	DET	le
.	PUNCT	.
ce	DET	ce
aux	ADP	à
la	DET	le
de	ADP	de
,	PUNCT	,
seuls	ADJ	seul
court	ADJ	court
commissaire1	NOUN	commissaire1
ensemble	ADJ	ensembl
sur	ADP	sur
l'	DET	le
.	PUNCT	.
et	CCONJ	et
mais	CCONJ	mais
fleurir	VERB	fleurir
décembre	NOUN	décembre
irritante	ADJ	irritant
bégonias	NOUN	bégonia
plus	ADV	plus
de	ADP	de
La	DET	le
le	DET	le
-là	PRON	-là
début	NOUN	début
,	PUNCT	,
en	ADP	en
hiver	VERB	hiver
les	DET	le
de	ADP	de
explications	NOUN	explication
intéressait	VERB	intéresser
affrontaient	NOUN	affrontaient
art	NOUN	art
l'	DET	le
ce	DET	ce
Cela	PRON	cela
époque	NOUN	époque
faire	AUX	faire
sonnerie	NOUN	sonnerie
laborieuses	ADJ	laborieux
année	NOUN	année
téléphone	NOUN	téléphone
du	ADP	de
sergent	NOUN	sergent
lugubre	NOUN	lugubre
matin	NOUN	matin
coupa	VERB	couper
,	PUNCT	,
du	ADP	de
étant	AUX	être
adjudant	NOUN	adjudant
de	ADP	de
eu	VERB	avoir
son	DET	son
,	PUNCT	,
l'	DET	le
bout	NOUN	bout
partie	NOUN	partie
confortable	NOUN	confortable
le	DET	le
sergent	NOUN	sergent
bâiller	VERB	bâiller
les	DET	le
d'	ADP	de
.	PUNCT	.
velours	NOUN	velours
ou	CCONJ	ou
le	DET	le
la	DET	le
de	ADP	de
,	PUNCT	,
la	DET	le
des	DET	un
recouvert	VERB	recouvrir
profondeurs	NOUN	profondeur
téléphone	NOUN	téléphone
s'	PRON	se
Mais	CCONJ	mais
de	ADP	de
cigare	NOUN	cigare
de	ADP	de
un	DET	un
poursuivait	VERB	poursuivre
ne	ADV	ne
fauteuil	NOUN	fauteuil
mis	VERB	mettre
avait	AUX	avoir
discours	NOUN	discours
tousser	VERB	tousser
humide	ADJ	humide
pas	ADV	pas
bruyamment	ADV	bruyamment
pendant	ADP	pendant
que	SCONJ	que
politesse	NOUN	politesse
,	PUNCT	,
son	DET	son
,	PUNCT	,
sucer	VERB	sucer
les	DET	le
policiers	NOUN	policier
.	PUNCT	.
agissait	VERB	agir
travail	NOUN	travail
Il	PRON	il
deux	NUM	deux
probable	ADJ	probable
circulation	NOUN	circulation
avec	ADP	avec
pas	ADV	pas
eu	VERB	avoir
fil	NOUN	fil
les	DET	le
du	ADP	de
des	DET	un
.	PUNCT	.
mais	CCONJ	mais
,	PUNCT	,
peut-être	ADV	peut-être
intérêt	NOUN	intérêt
professionnel	ADJ	professionnel
la	DET	le
les	DET	le
certain	ADJ	certain
réponses	NOUN	réponse
à	ADP	à
part	NOUN	part
semaines	NOUN	semaine
un	DET	un
Il	PRON	il
de	ADP	de
commissaire	NOUN	commissaire
de	DET	de
coup	NOUN	coup
un	DET	un
accidents	NOUN	accident
s'	PRON	se
depuis	ADP	depuis
,	PUNCT	,
n'	ADV	n'
de	ADP	de
était	AUX	être
y	PRON	y
avait	AUX	avoir
d'	ADP	de
écoutaient	VERB	écouter
peu	ADV	peu
,	PUNCT	,
c'	PRON	ce
pour	ADP	pour
familiales	ADJ	familial
appartenaient	VERB	appartenir
la	DET	le
violente	ADJ	violent
attention	NOUN	attention
bagarres	NOUN	bagarre
ils	PRON	il
place	NOUN	place
à	ADP	à
.	PUNCT	.
La	DET	le
,	PUNCT	,
de	DET	de
habituelles	ADJ	habituel
qui	PRON	qui
l'	DET	le
de	ADP	de
s'	PRON	se
«	NOUN	«
de	ADP	de
le	DET	le
la	DET	le
les	DET	le
indignes	ADJ	indigne
broutilles	NOUN	broutille
interrompait	VERB	interrompre
que	ADV	que
ne	ADV	ne
des	ADP	de
depuis	ADP	depuis
parfois	ADV	parfois
tout	ADV	tout
pluie	NOUN	pluie
assassinats	NOUN	assassinat
fait	NOUN	fait
céder	VERB	céder
de	ADP	de
,	PUNCT	,
service	NOUN	service
un	DET	un
»	PUNCT	»
criminelles	ADJ	criminel
temps	NOUN	temps
immémorial	ADJ	immémorial
brigade	VERB	brigade
et	CCONJ	et
auquel	PRON	auquel
à	ADP	à
recherches	NOUN	recherche
lire	VERB	lire
chutes	ADJ	chute
ordre	NOUN	ordre
Les	DET	le
Rien	NOUN	rien
ville	NOUN	ville
glaciales	NOUN	glaciale
L'	DET	le
de	ADP	de
maintenir	VERB	maintenir
mieux	ADV	mieux
respecté	VERB	respecter
travail	NOUN	travail
les	DET	le
contribuait	VERB	contribuer
autre	ADJ	autre
la	DET	le
nuit	NOUN	nuit
faire	VERB	faire
citadins	NOUN	citadin
dans	ADP	dans
et	CCONJ	et
et	CCONJ	et
grêle	PROPN	grêle
calme	NOUN	calme
,	PUNCT	,
que	SCONJ	que
de	ADP	de
à	ADP	à
la	DET	le
public	ADJ	public
dossiers	NOUN	dossier
à	ADP	à
.	PUNCT	.
journée	NOUN	journée
le	DET	le
des	DET	un
.	PUNCT	.
d'	ADP	de
la	DET	le
ne	ADV	ne
au	ADP	au
eux	PRON	lui
pouvait	VERB	pouvoir
être	AUX	être
passaient	VERB	passer
de	ADP	de
.	PUNCT	.
parcourir	VERB	parcourir
chez	ADP	chez
ce	PRON	ce
trempées	VERB	tremper
air	NOUN	air
minable	ADJ	minable
regardaient	VERB	regarder
et	CCONJ	et
rues	NOUN	rue
l'	DET	le
,	PUNCT	,
grise	ADJ	gris
Les	DET	le
piétons	NOUN	piéton
faire	VERB	faire
était	AUX	être
la	DET	le
eux	PRON	lui
cabossée	VERB	cabosser
dévisager	VERB	dévisager
,	PUNCT	,
.	PUNCT	.
toute	ADJ	tout
que	SCONJ	que
voyaient	VERB	voir
volant	NOUN	volant
,	PUNCT	,
de	ADP	de
mais	CCONJ	mais
tout	ADJ	tout
aussi	ADV	aussi
d'	ADP	de
morne	ADJ	morne
ils	PRON	il
Volkswagen	NOUN	volkswagen
vous	PRON	vous
autre	ADJ	autre
banalisée	VERB	banaliser
qu'	PRON	qu'
franchement	ADV	franchement
,	PUNCT	,
de	ADP	de
et	CCONJ	et
à	ADP	à
piétons	NOUN	piéton
frigorifié	VERB	frigorifier
.	PUNCT	.
Rien	PRON	rien
au	ADP	au
à	ADP	à
c'	PRON	ce
les	DET	le
,	PUNCT	,
auto	NOUN	auto
ni	CCONJ	ni
.	PUNCT	.
essuie	NOUN	essuie
le	DET	le
une	DET	un
détails	NOUN	détail
leur	PRON	leur
que	SCONJ	que
le	DET	le
va-et-vient	NOUN	va-et-vient
-là	ADV	-là
que	SCONJ	que
la	DET	le
glaces	NOUN	glace
barrait	VERB	barrer
ne	ADV	ne
de	ADP	de
Et	CCONJ	et
leur	PRON	leur
,	PUNCT	,
ne	ADV	ne
ils	PRON	il
elle	PRON	lui
ne	ADV	ne
la	DET	le
Volkswagen	PROPN	Volkswagen
grinçants	ADJ	grinçant
dans	ADP	dans
les	DET	le
visages	NOUN	visage
remarquaient	NOUN	remarquaient
des	DET	un
ce	DET	ce
lorsqu'	SCONJ	lorsque
les	DET	le
passage	NOUN	passage
-	PUNCT	-
ils	PRON	il
passagers	NOUN	passager
cas	NOUN	cas
ni	CCONJ	ni
.	PUNCT	.
Derrière	ADP	derrière
même	ADV	même
et	CCONJ	et
les	DET	le
apparaissaient	NOUN	apparaissaient
voyaient	VERB	voir
agile	NOUN	agile
des	DET	un
œil	NOUN	œil
:	PUNCT	:
cheveux	ADJ	cheveux
êtres	NOUN	être
comme	ADP	comme
un	DET	un
qui	PRON	qui
ces	DET	ce
brosse	NOUN	brosse
de	ADP	de
Grijpstra	PROPN	Grijpstra
de	ADP	de
Pourtant	ADV	pourtant
fer	NOUN	fer
des	DET	un
acceptait	VERB	accepter
et	CCONJ	et
au	ADP	au
à	ADP	à
,	PUNCT	,
Gier	PROPN	Gier
grises	ADJ	gris
appartenaient	VERB	appartenir
.	PUNCT	.
à	ADP	à
l'	DET	le
,	PUNCT	,
et	CCONJ	et
légèrement	NOUN	légèrement
de	ADP	de
,	PUNCT	,
ses	DET	son
placide	VERB	placide
visages	NOUN	visage
sergent	ADV	sergent
vivants	ADJ	vivant
gris	NOUN	gris
qui	PRON	qui
sceptique	ADJ	sceptique
adjudant	VERB	adjuder
monde	NOUN	monde
sous	ADP	sous
la	DET	le
corpulent	NOUN	corpulent
taches	NOUN	tache
d'	ADP	de
,	PUNCT	,
le	DET	le
un	DET	un
grands	ADJ	grand
,	PUNCT	,
boucles	NOUN	boucle
.	PUNCT	.
par	ADP	par
ses	DET	son
passait	VERB	passer
.	PUNCT	.
surmontant	VERB	surmonter
se	PRON	se
passait	VERB	passer
chevelure	NOUN	chevelure
piéton	NOUN	piéton
regard	NOUN	regard
coiffure	NOUN	coiffure
encadrées	VERB	encadrer
tout	ADJ	tout
sergent	NOUN	sergent
soigneusement	ADV	soigneusement
saillantes	NOUN	saillante
,	PUNCT	,
étudiée	VERB	étudier
marron	ADJ	marron
pommettes	NOUN	pommette
au	ADP	au
était	AUX	être
peut-être	ADV	peut-être
du	ADP	de
d'	ADP	de
ou	CCONJ	ou
trop	ADV	trop
velouté	VERB	velouter
pas	ADV	pas
une	DET	un
des	ADP	de
peu	ADV	peu
les	DET	le
La	DET	le
observait	VERB	observer
ce	PRON	ce
épaisse	NOUN	épaisse
qui	PRON	qui
qui	PRON	qui
ne	ADV	ne
ordonnées	VERB	ordonner
yeux	NOUN	oeil
se	PRON	se
Un	DET	un
ce	PRON	ce
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
femme	NOUN	femme
le	DET	le
qui	PRON	qui
colère	NOUN	colère
soit	CCONJ	soit
la	DET	le
sergent	NOUN	sergent
pour	ADP	pour
de	ADP	de
train	NOUN	train
cogné	VERB	cogner
à	ADP	à
injurié	ADJ	injurier
l'	DET	le
,	PUNCT	,
se	PRON	se
avoir	AUX	avoir
plus	ADV	plus
Gier	PROPN	Gier
s'	PRON	se
et	CCONJ	et
être	AUX	être
bien	ADV	bien
entendu	VERB	entendre
condition	NOUN	condition
penché	VERB	pencher
aurait	AUX	avoir
de	ADP	de
dans	ADP	dans
une	DET	un
pour	ADP	pour
voiture	NOUN	voiture
que	ADV	que
chauffeur	NOUN	chauffeur
...	PUNCT	...
près	ADV	près
pu	VERB	pouvoir
voir	VERB	voir
de	ADP	de
prendre	VERB	prendre
le	DET	le
serait	AUX	être
après	ADP	après
sa	DET	son
en	ADP	en
objet	NOUN	objet
délinquance	NOUN	délinquance
se	PRON	se
réputation	NOUN	réputation
sexe	NOUN	sexe
à	ADP	à
sur	ADP	sur
de	ADP	de
la	DET	le
diverses	ADJ	divers
recourbée	VERB	recourber
,	PUNCT	,
non	ADV	non
homme	NOUN	homme
de	ADP	de
grande	ADJ	grand
égard	NOUN	égard
doute	NOUN	doute
athlète	NOUN	athlète
monde	NOUN	monde
:	PUNCT	:
aucun	DET	aucun
.	PUNCT	.
les	DET	le
.	PUNCT	.
laissait	VERB	laisser
Sa	DET	son
de	ADP	de
la	DET	le
du	ADP	de
était	AUX	être
de	ADP	de
envers	NOUN	envers
moustache	NOUN	moustache
tant	ADV	tant
vraiment	ADV	vraiment
ne	ADV	ne
qu'	SCONJ	que
son	DET	son
l'	DET	le
Un	DET	un
manifester	VERB	manifester
un	DET	un
qui	PRON	qui
son	DET	son
antagonisme	NOUN	antagonisme
c'	PRON	ce
moucher	VERB	moucher
avait	VERB	avoir
formes	NOUN	forme
aventureux	ADJ	aventureux
n'	ADV	n'
qui	PRON	qui
l'	DET	le
sergent	NOUN	sergent
commissaire	NOUN	commissaire
Mais	CCONJ	mais
pouvoir	VERB	pouvoir
de	ADP	de
à	ADP	à
goût	NOUN	goût
gentiment	VERB	gentimer
malicieuses	ADJ	malicieux
et	CCONJ	et
tête	NOUN	tête
et	CCONJ	et
freiner	VERB	freiner
.	PUNCT	.
compte	NOUN	compte
malheureux	NOUN	malheureux
était	AUX	être
indépendance	NOUN	indépendance
il	PRON	il
qu'	SCONJ	que
ses	DET	son
l'	DET	le
habitudes	NOUN	habitude
penchant	VERB	pencher
à	ADP	à
son	DET	son
un	DET	un
adjudant	NOUN	adjudant
faire	VERB	faire
son	DET	son
du	ADP	de
homme	NOUN	homme
de	ADP	de
en	PRON	en
le	DET	le
pour	ADP	pour
