et	CCONJ	et
Il	PRON	il
,	PUNCT	,
à	ADP	à
Adamsberg	PROPN	Adamsberg
la	DET	le
I	ADJ	i
femme	NOUN	femme
pas	NOUN	pas
de	ADP	de
.	PUNCT	.
Le	DET	le
les	DET	le
le	DET	le
petites	ADJ	petit
considérait	VERB	considérer
de	ADP	de
où	PRON	où
silence	NOUN	silence
la	DET	le
couraient	NOUN	couraient
draps	NOUN	drap
un	DET	un
avait	VERB	avoir
qui	PRON	qui
des	DET	un
,	PUNCT	,
allant	VERB	aller
en	ADP	en
,	PUNCT	,
morte	ADJ	mort
d'	ADP	de
miettes	NOUN	miette
commissaire	NOUN	commissaire
jusque	ADJ	jusqu
pain	NOUN	pain
venant	VERB	venir
cuisine	NOUN	cuisine
les	PRON	le
propres	ADJ	propre
et	CCONJ	et
sur	ADP	sur
la	DET	le
bouche	NOUN	bouche
ouverte	ADJ	ouvert
chambre	NOUN	chambre
y	PRON	y
vieille	ADJ	vieux
lent	VERB	ler
reposait	VERB	reposer
chambre	NOUN	chambre
des	ADP	de
petit	ADJ	petit
l'	DET	le
18	NUM	18
Ogre	NOUN	ogre
long	NOUN	long
et	CCONJ	et
femme	NOUN	femme
Petit	ADJ	petit
,	PUNCT	,
dans	ADP	dans
là	ADV	là
.	PUNCT	.
demandant	VERB	demander
de	ADP	de
quel	ADJ	quel
appartement	NOUN	appartement
.	PUNCT	.
occurrence	NOUN	occurrence
ou	CCONJ	ou
.	PUNCT	.
vieille	ADJ	vieux
,	PUNCT	,
,	PUNCT	,
se	PRON	se
Dans	ADP	dans
la	DET	le
Paris	PROPN	Paris
les	DET	le
rez-de-chaussée	NOUN	rez-de-chaussée
la	DET	le
quel	DET	quel
le	DET	le
avait	VERB	avoir
Poucet	PROPN	Poucet
,	PUNCT	,
en	ADP	en
earrondissement	NOUN	earrondissement
L'	DET	le
de	ADP	de
perdues	ADJ	perdre
un	DET	un
trois	NUM	trois
pièces	NOUN	pièce
,	PUNCT	,
débris	NOUN	débris
sombre	NOUN	sombre
allongée	VERB	allonger
était	AUX	être
sur	ADP	sur
la	DET	le
des	ADP	de
sans	ADP	sans
pas	ADV	pas
impatience	NOUN	impatience
Dans	ADP	dans
page	NOUN	page
avait	AUX	avoir
mari	NOUN	mari
il	PRON	il
n'	ADV	n'
journal	NOUN	journal
sa	DET	son
,	PUNCT	,
tant	ADV	tant
sans	ADP	sans
,	PUNCT	,
les	DET	le
émotion	NOUN	émotion
attendait	VERB	attendre
avec	ADP	avec
Il	PRON	il
à	ADP	à
Il	PRON	il
manger	VERB	manger
flics	ADJ	flic
étaient	VERB	être
que	SCONJ	que
regardant	VERB	regarder
mots	NOUN	mot
.	PUNCT	.
le	DET	le
osait	VERB	oser
seulement	ADV	seulement
.	PUNCT	.
place	NOUN	place
et	CCONJ	et
poursuivre	VERB	poursuivre
envie	NOUN	envie
croisés	VERB	croiser
son	DET	son
à	ADP	à
,	PUNCT	,
qu'	SCONJ	que
,	PUNCT	,
salle	NOUN	salle
la	DET	le
raconté	VERB	raconter
plié	VERB	plier
était	AUX	être
histoire	NOUN	histoire
allégresse	NOUN	allégresse
assurances	NOUN	assurance
-	PUNCT	-
compagnie	NOUN	compagnie
courte	ADJ	court
avec	ADP	avec
nuit	NOUN	nuit
s'	PRON	se
devait	VERB	devoir
durer	VERB	durer
lui	PRON	lui
D'	ADP	de
sa	DET	son
ans	NOUN	an
une	DET	un
ils	PRON	il
Puis	CCONJ	puis
,	PUNCT	,
dans	ADP	dans
comptable	ADJ	comptable
la	DET	le
lui	PRON	lui
rencontrés	VERB	rencontrer
et	CCONJ	et
la	DET	le
femme	NOUN	femme
.	PUNCT	.
était	AUX	être
sans	ADP	sans
durant	ADP	durant
femme	NOUN	femme
cinquante	PRON	cinquante
secrétaire	NOUN	secrétaire
étaient	AUX	être
morte	VERB	mourir
d'	ADP	de
neuf	ADJ	neuf
,	PUNCT	,
savoir	VERB	savoir
et	CCONJ	et
étaient	AUX	être
que	SCONJ	que
cela	PRON	cela
elle	PRON	lui
:	PUNCT	:
mariés	VERB	marier
.	PUNCT	.
s'	PRON	se
.	PUNCT	.
arrêt	NOUN	arrêt
ce	DET	ce
Cloué	VERB	clouer
petite	ADJ	petit
téléphone	NOUN	téléphone
un	DET	un
-moi	PRON	moi
plus	ADV	plus
commissaire	NOUN	commissaire
as	PRON	as
pour	ADP	pour
appelé	VERB	appeler
Adamsberg	PROPN	Adamsberg
précisé	VERB	préciser
,	PUNCT	,
au	ADP	au
le	DET	le
routine	NOUN	routine
au	ADP	au
earrondissement	NOUN	earrondissement
Adamsberg	PROPN	Adamsberg
de	ADP	de
,	PUNCT	,
18	NUM	18
avait	AUX	avoir
du	ADP	de
matin	NOUN	matin
une	DET	un
,	PUNCT	,
service	NOUN	service
fois	NOUN	fois
le	DET	le
une	DET	un
il	PRON	il
du	ADP	de
Une	DET	un
.	PUNCT	.
heure	NOUN	heure
pour	ADP	pour
,	PUNCT	,
avait	AUX	avoir
.	PUNCT	.
tu	VERB	taire
en	PRON	en
lit	NOUN	lit
cardiaque	ADJ	cardiaque
Rends	PROPN	Rends
,	PUNCT	,
remplacer	VERB	remplacer
contenait	VERB	contenir
les	DET	le
,	PUNCT	,
appuie	NOUN	appuie
à	ADP	à
couverts	ADJ	couvert
longea	VERB	longer
trace	NOUN	trace
,	PUNCT	,
impeccablement	ADV	impeccablement
Il	PRON	il
remonta	VERB	remonter
en	ADP	en
un	DET	un
appartement	NOUN	appartement
boîte	NOUN	boîte
fauteuils	NOUN	fauteuil
,	PUNCT	,
pain	NOUN	pain
-	PUNCT	-
les	DET	le
plastique	NOUN	plastique
et	CCONJ	et
.	PUNCT	.
,	PUNCT	,
L'	DET	le
,	PUNCT	,
qui	PRON	qui
à	ADP	à
,	PUNCT	,
la	DET	le
demi-baguette	NOUN	demi-baguette
était	AUX	être
jusqu'	ADP	jusque
les	DET	le
tenu	VERB	tenir
une	DET	un
d'	ADP	de
la	DET	le
astiquées	ADJ	astiquer
vaisselle	NOUN	vaisselle
surfaces	NOUN	surface
vitres	NOUN	vitre
faite	NOUN	faite
.	PUNCT	.
tête	NOUN	tête
miettes	NOUN	miette
sans	ADP	sans
dans	ADP	dans
les	DET	le
son	DET	son
propre	ADJ	propre
Pas	ADV	pas
du	ADP	de
le	DET	le
revint	VERB	revenir
torchon	NOUN	torchon
--	PUNCT	--
cette	DET	ce
de	ADP	de
matin	NOUN	matin
,	PUNCT	,
pour	ADP	pour
aussi	ADV	aussi
quignon	ADV	quignon
en	ADP	en
Il	PRON	il
de	ADP	de
les	DET	le
mari	NOUN	mari
.	PUNCT	.
s'	PRON	se
Avec	ADP	avec
un	DET	un
mie	NOUN	mie
gros	NOUN	gros
yeux	NOUN	oeil
de	ADP	de
détachant	VERB	détacher
tira	VERB	tirer
de	ADP	de
.	PUNCT	.
vidé	VERB	vider
dit	VERB	dire
une	DET	un
sa	DET	son
journal	NOUN	journal
près	ADV	près
vieux	ADJ	vieux
approcher	VERB	approcher
bonnes	NOUN	bonne
chaise	NOUN	chaise
fauteuil	NOUN	fauteuil
nouvelles	ADJ	nouveau
ce	DET	ce
,	PUNCT	,
,	PUNCT	,
.	PUNCT	.
chaleur	NOUN	chaleur
son	DET	son
Vous	PRON	vous
ça	PRON	cela
fermés	VERB	fermer
peut	VERB	pouvoir
est	AUX	être
,	PUNCT	,
,	PUNCT	,
volets	NOUN	volet
rendu	VERB	rendre
Mais	CCONJ	mais
boire	VERB	boire
,	PUNCT	,
est	AUX	être
de	ADP	de
caractères	NOUN	caractère
qu'	PRON	qu'
rez-de-chaussée	PROPN	rez-de-chaussée
que	PRON	que
disent	ADV	disent
garder	VERB	garder
en	ADP	en
pour	ADP	pour
êtes	AUX	être
bouillir	VERB	bouillir
,	PUNCT	,
les	DET	le
.	PUNCT	.
--	PUNCT	--
ils	PRON	il
frais	NOUN	frais
.	PUNCT	.
vous	PRON	vous
.	PUNCT	.
c'	PRON	ce
.	PUNCT	.
ici	ADV	ici
ne	ADV	ne
