mon	DET	mon
1	NUM	1
rien	PRON	rien
j'	PRON	je
elle	PRON	lui
trouvé	VERB	trouver
PHASE	X	PHASE
sais	VERB	savoir
attendais	VERB	attendre
ombre	NOUN	ombre
,	PUNCT	,
planté	VERB	planter
je	PRON	je
quelque	DET	quelque
dans	ADP	dans
...	PUNCT	...
ai	AUX	avoir
?	PUNCT	?
.	PUNCT	.
en	PRON	en
j'	PRON	je
voulais	VERB	vouloir
j'	PRON	je
La	DET	le
Si	SCONJ	si
femme	NOUN	femme
«	PUNCT	«
A	VERB	avoir
)	PUNCT	)
,	PUNCT	,
»	PUNCT	»
,	PUNCT	,
l'	DET	le
devant	ADP	devant
ce	PRON	ce
«	PUNCT	«
idée	NOUN	idée
où	PRON	où
(	PUNCT	(
faire	VERB	faire
,	PUNCT	,
que	PRON	que
n'	ADV	n'
dit	VERB	dire
-il	PRON	il
étais	AUX	être
:	PUNCT	:
en	PRON	en
que	SCONJ	que
Je	PRON	je
histoires	NOUN	histoire
arrive	VERB	arrive
,	PUNCT	,
bien	ADV	bien
que	PRON	que
.	PUNCT	.
chose	NOUN	chose
Hammett	PROPN	Hammett
et	CCONJ	et
montrerait	VERB	montrer
ombre	NOUN	ombre
—	NOUN	—
,	PUNCT	,
finissent	ADV	finissent
qui	PRON	qui
aime	VERB	aime
prendre	VERB	prendre
vous	PRON	vous
ce	PRON	ce
,	PUNCT	,
à	ADP	à
c'	PRON	ce
mal	NOUN	mal
un	DET	un
direction	NOUN	direction
truc	NOUN	truc
sont	AUX	être
les	DET	le
,	PUNCT	,
qui	PRON	qui
La	DET	le
commencent	VERB	commencer
me	PRON	me
Ce	PRON	ce
est	AUX	être
la	DET	le
qui	PRON	qui
Eh	INTJ	Eh
j'	PRON	je
est	AUX	être
femme	NOUN	femme
arrivé	VERB	arriver
»	PUNCT	»
dans	ADP	dans
l'	DET	le
ce	PRON	ce
,	PUNCT	,
Dashiell	PROPN	Dashiell
se	PRON	se
.	PUNCT	.
avait	AUX	avoir
plus	ADV	plus
profils	NOUN	profil
de	ADP	de
,	PUNCT	,
aux	ADP	à
encore	ADV	encore
les	DET	le
de	ADP	de
venait	VERB	venir
tueur	NOUN	tueur
génétiquement	ADV	génétiquement
carnassier	NOUN	carnassier
Destroy	PROPN	Destroy
homme	NOUN	homme
c'	PRON	ce
phrase	NOUN	phrase
avait	VERB	avoir
pourquoi	ADV	pourquoi
sentence	NOUN	sentence
cette	DET	ce
.	PUNCT	.
attention	NOUN	attention
...	PUNCT	...
prononcer	VERB	prononcer
L'	DET	le
sa	DET	son
réflexion	NOUN	réflexion
est	AUX	être
un	DET	un
physique	ADJ	physique
l'	DET	le
qui	PRON	qui
modifié	VERB	modifier
sourire	ADJ	sourir
de	ADP	de
attiré	VERB	attirer
allures	NOUN	allure
et	CCONJ	et
Il	PRON	il
et	CCONJ	et
discrètement	NOUN	discrètement
à	ADP	à
psychique	ADJ	psychique
du	ADP	de
affichait	VERB	afficher
mal	ADV	mal
fait	NOUN	fait
Search	PROPN	Search
tout	ADV	tout
.	PUNCT	.
«	PUNCT	«
n'	ADV	n'
de	ADP	de
)	PUNCT	)
une	DET	un
.	PUNCT	.
qui	PRON	qui
j'	PRON	je
se	PRON	se
déclaration	NOUN	déclaration
d'	ADP	de
qui	PRON	qui
,	PUNCT	,
...	PUNCT	...
répondit	NOUN	répondit
avalant	VERB	avaler
cette	DET	ce
le	DET	le
bourbon	NOUN	bourbon
en	ADP	en
était	AUX	être
que	PRON	que
un	DET	un
-il	PRON	il
programme	NOUN	programme
même	ADJ	même
ton	NOUN	ton
sur	ADP	sur
La	DET	le
était	AUX	être
Ce	PRON	ce
»	PUNCT	»
amour	NOUN	amour
femme	NOUN	femme
dit	VERB	dire
—	PUNCT	—
gorgée	NOUN	gorgée
,	PUNCT	,
destinée	VERB	destiner
sûrement	VERB	sûremer
à	ADP	à
tirade	NOUN	tirade
pas	ADV	pas
une	DET	un
.	PUNCT	.
Tout	ADJ	tout
(	PUNCT	(
aime	VERB	aime
curieuse	ADJ	curieux
l'	PRON	l'
,	PUNCT	,
probablement	ADV	probablement
fit	VERB	faire
,	PUNCT	,
Cette	DET	ce
moi	PRON	moi
était	AUX	être
n'	ADV	n'
ne	ADV	ne
de	ADP	de
son	DET	son
une	DET	un
sincèrement	VERB	sincèremer
histoires	NOUN	histoire
Destroy	PROPN	Destroy
...	PUNCT	...
Pourquoi	ADV	pourquoi
garda	NOUN	garda
à	ADP	à
pas	ADV	pas
révélation	NOUN	révélation
Il	PRON	il
sont	AUX	être
finissent	VERB	finir
les	DET	le
bien	ADV	bien
de	ADP	de
se	PRON	se
l'	DET	le
contenue	VERB	contenir
.	PUNCT	.
qui	PRON	qui
exomémoire	NOUN	exomémoire
effet	NOUN	effet
se	PRON	se
interroger	VERB	interroger
réplique	NOUN	réplique
mais	CCONJ	mais
.	PUNCT	.
dans	ADP	dans
d'	ADP	de
La	DET	le
les	DET	le
arcanes	ADJ	arcane
SD	PROPN	SD
ce	PRON	ce
réponse	NOUN	réponse
avait	AUX	avoir
?	PUNCT	?
1'Olympus	NUM	1'Olympus
envie	NOUN	envie
contenance	NOUN	contenance
.	PUNCT	.
français	ADJ	français
l'	DET	le
aucune	DET	aucun
une	DET	un
Vegas	PROPN	Vegas
était	AUX	être
été	AUX	être
prononcée	VERB	prononcer
d'	ADP	de
l'	DET	le
quel	DET	quel
la	DET	le
de	ADP	de
histoire	NOUN	histoire
en	ADP	en
Il	PRON	il
repartie	NOUN	repartie
alcool	NOUN	alcool
Last	PROPN	Last
savoir	VERB	savoir
la	DET	le
à	ADP	à
vogue	NOUN	vogue
à	ADP	à
langue	NOUN	langue
une	DET	un
.	PUNCT	.
de	ADP	de
souvenir	NOUN	souvenir
en	ADP	en
nouvelle	ADJ	nouveau
liée	VERB	lier
Mons	NOUN	mon
inconnue	NOUN	inconnue
,	PUNCT	,
,	PUNCT	,
La	DET	le
lampée	VERB	lamper
se	PRON	se
phrase	NOUN	phrase
avait	AUX	avoir
ingurgita	VERB	ingurgiter
de	ADP	de
donner	VERB	donner
,	PUNCT	,
de	ADP	de
d'	ADP	de
-	NUM	-
désigné	VERB	désigner
installé	VERB	installer
.	PUNCT	.
complexe	NOUN	complexe
hôtel	NOUN	hôtel
communément	ADV	communément
s'	PRON	se
qui	PRON	qui
«	NOUN	«
Boulevard	PROPN	Boulevard
Infinite	PROPN	Infinite
à	ADP	à
une	DET	un
Boulevard	PROPN	Boulevard
grand	ADJ	grand
,	PUNCT	,
avait	VERB	avoir
sur	ADP	sur
plus	ADV	plus
Boulevard	PROPN	Boulevard
et	CCONJ	et
vaste	ADJ	vaste
le	DET	le
comme	ADP	comme
les	DET	le
dimensions	NOUN	dimension
qui	PRON	qui
VIB	NOUN	vib
sous	ADP	sous
univers	NOUN	univers
ville	NOUN	ville
»	PROPN	»
(	PUNCT	(
constituait	VERB	constituer
un	DET	un
récréatif	ADJ	récréatif
Un	DET	un
)	PUNCT	)
l'	DET	le
Virtual	PROPN	Virtual
virtuel	ADJ	virtuel
appellation	NOUN	appellation
de	ADP	de
le	DET	le
casino	NOUN	casino
plus	ADV	plus
étendait	VERB	étendre
espace	NOUN	espace
un	DET	un
infini	NOUN	infini
quasi-totalité	NOUN	quasi-totalité
tout	DET	tout
ses	DET	son
Résidents	PROPN	Résidents
l'	DET	le
la	DET	le
phrase	NOUN	phrase
cyberespace	NOUN	cyberespace
contentaient	VERB	contenter
de	ADP	de
au	ADP	au
qui	PRON	qui
directions	NOUN	direction
ludiques	ADJ	ludique
et	CCONJ	et
leur	DET	leur
Search	PROPN	Search
loisir	NOUN	loisir
Passants	NOUN	passant
gré	NOUN	gré
la	DET	le
toutes	ADJ	tout
Les	DET	le
les	DET	le
entendit	VERB	entendre
comme	ADP	comme
.	PUNCT	.
s'	PRON	se
d'	ADP	de
de	ADP	de
du	ADP	de
fréquenter	VERB	fréquenter
y	PRON	y
.	PUNCT	.
écho	NOUN	écho
avaient	AUX	avoir
espaces	NOUN	espace
de	ADP	de
entre	ADP	entre
déplacer	NOUN	déplacer
,	PUNCT	,
eux	PRON	lui
se	PRON	se
de	ADP	de
dans	ADP	dans
mais	CCONJ	mais
,	PUNCT	,
fantaisie	NOUN	fantaisie
dans	ADP	dans
