futur	ADJ	futur
PARTIE	NOUN	partie
souvenir	NOUN	souvenir
vie	NOUN	vie
l'	DET	le
et	CCONJ	et
PREMIERE	ADJ	premier
notre	DET	notre
UNAMUNO	NOUN	unamuno
et	CCONJ	et
devenir	VERB	devenir
espérance	NOUN	espérance
le	DET	le
sentiment	NOUN	sentiment
le	DET	le
de	ADP	de
,	PUNCT	,
que	SCONJ	que
passé	NOUN	passé
spirituelle	ADJ	spirituel
souvenir	NOUN	souvenir
fond	NOUN	fond
DE	ADP	de
vit	VERB	voir
le	DET	le
dans	ADP	dans
pour	ADP	pour
devenir	VERB	devenir
notre	DET	notre
est	VERB	être
pour	ADP	pour
MIGUEL	NOUN	miguel
souvenir	NOUN	souvenir
,	PUNCT	,
,	PUNCT	,
par	ADP	par
.	PUNCT	.
notre	DET	notre
effort	NOUN	effort
,	PUNCT	,
persévérer	VERB	persévérer
dans	ADP	dans
effort	NOUN	effort
,	PUNCT	,
pour	ADP	pour
n'	ADV	n'
On	PRON	on
de	ADP	de
Le	DET	le
l'	DET	le
tuant	VERB	tuer
de	ADP	de
que	SCONJ	que
imaginais	VERB	imaginer
tenté	VERB	tenter
.	PUNCT	.
tragique	ADJ	tragique
ainsi	ADV	ainsi
c'	PRON	ce
,	PUNCT	,
mon	DET	mon
enfance	NOUN	enfance
.	PUNCT	.
en	ADP	en
des	DET	un
apprivoiser	VERB	apprivoiser
mère	NOUN	mère
d'	ADP	de
personnage	NOUN	personnage
chaque	DET	chaque
ma	DET	mon
Je	PRON	je
,	PUNCT	,
vie	NOUN	vie
enterrais	VERB	enterrer
Depuis	ADP	depuis
.	PUNCT	.
En	ADP	en
son	DET	son
de	ADP	de
j'	PRON	je
mère	NOUN	mère
années	NOUN	année
,	PUNCT	,
son	DET	son
j'	PRON	je
ma	DET	mon
J'	PRON	je
d'	ADP	de
tentais	VERB	tenter
avais	VERB	avoir
agonie	NOUN	agonie
sa	DET	son
,	PUNCT	,
dans	ADP	dans
détail	NOUN	détail
la	DET	le
mort	NOUN	mort
est	AUX	être
apprivoiser	VERB	apprivoiser
ressenti	VERB	ressentir
ma	DET	mon
ont	AUX	avoir
mais	CCONJ	mais
fini	VERB	finir
honte	NOUN	honte
réalité	NOUN	réalité
autres	ADJ	autre
Rien	PRON	rien
supprimer	VERB	supprimer
la	DET	le
mort	NOUN	mort
J'	PRON	je
s'	PRON	se
aurais	AUX	avoir
frapper	VERB	frapper
la	DET	le
honte	NOUN	honte
j'	PRON	je
la	DET	le
pas	ADV	pas
ai	VERB	avoir
.	PUNCT	.
que	PRON	que
Non	ADV	non
j'	PRON	je
ai	VERB	avoir
aussitôt	ADV	aussitôt
,	PUNCT	,
tout	ADV	tout
la	DET	le
démangeaison	NOUN	démangeaison
voulu	VERB	vouloir
a	AUX	avoir
court	ADJ	court
.	PUNCT	.
cette	DET	ce
de	ADP	de
par	ADP	par
la	DET	le
gale	NOUN	gale
.	PUNCT	.
comme	ADP	comme
.	PUNCT	.
Quand	SCONJ	quand
honte	NOUN	honte
honte	NOUN	honte
d'	DET	d'
ne	ADV	ne
,	PUNCT	,
raconté	VERB	raconter
passé	VERB	passer
infidélité	NOUN	infidélité
provient	VERB	provenir
celle	PRON	celui
décalage	NOUN	décalage
est	AUX	être
mon	DET	mon
échapper	VERB	échapper
l'	PRON	l'
qui	PRON	qui
vaille	VERB	valoir
fiction	NOUN	fiction
mon	DET	mon
que	SCONJ	que
langage	NOUN	langage
Le	DET	le
.	PUNCT	.
Je	PRON	je
pas	ADV	pas
.	PUNCT	.
et	CCONJ	et
pour	ADP	pour
la	DET	le
imaginé	VERB	imaginer
manière	NOUN	manière
m'	PRON	me
étais	AUX	être
.	PUNCT	.
l'	DET	le
à	ADP	à
histoires	NOUN	histoire
je	PRON	je
,	PUNCT	,
écart	NOUN	écart
avais	VERB	avoir
des	DET	un
ne	ADV	ne
du	ADP	de
réalité	NOUN	réalité
la	DET	le
entre	ADP	entre
résulte	VERB	résulte
seule	ADJ	seul
réalité	NOUN	réalité
de	ADP	de
de	ADP	de
de	ADP	de
à	ADP	à
Il	PRON	il
Monte	NOUN	monte
.	PUNCT	.
balbutiera	VERB	balbutier
Le	DET	le
a	AUX	avoir
rattraper	VERB	rattraper
histoire	NOUN	histoire
Félix	PROPN	Félix
Paris	PROPN	Paris
texte	NOUN	texte
gravement	ADV	gravement
malade	ADJ	malade
-je	PRON	je
Me	NOUN	me
vérité	NOUN	vérité
transportée	VERB	transporter
me	PRON	me
une	DET	un
l'	DET	le
téléphone	NOUN	téléphone
par	ADP	par
.	PUNCT	.
à	ADP	à
,	PUNCT	,
fini	VERB	finir
la	DET	le
hôpital	NOUN	hôpital
.	PUNCT	.
à	ADP	à
,	PUNCT	,
que	SCONJ	que
raije	VERB	raije
du	ADP	de
,	PUNCT	,
me	PRON	me
a	AUX	avoir
-	PUNCT	-
.	PUNCT	.
été	AUX	être
D'	ADP	de
ma	DET	mon
racontais	VERB	raconter
bouleversée	VERB	bouleverser
mère	NOUN	mère
,	PUNCT	,
sonnera	VERB	sonner
Naturellement	ADV	naturellement
,	PUNCT	,
?	PUNCT	?
voix	NOUN	voix
ai	AUX	avoir
-je	PROPN	-je
.	PUNCT	.
.	PUNCT	.
je	PRON	je
des	ADP	de
rendrai	VERB	rendre
agonie	NOUN	agonie
1955	NUM	1955
esprit	NOUN	esprit
malade	NOUN	malade
tel	ADJ	tel
pour	ADP	pour
muet	NOUN	muet
?	PUNCT	?
suis	AUX	être
et	CCONJ	et
Il	PRON	il
que	SCONJ	que
Mon	DET	mon
prétextes	NOUN	prétexte
moi	PRON	moi
en	ADP	en
son	DET	son
des	ADP	de
chevet	NOUN	chevet
je	PRON	je
l'	PRON	l'
depuis	ADP	depuis
avait	AUX	avoir
Je	PRON	je
,	PUNCT	,
Mon	DET	mon
que	SCONJ	que
déjà	ADV	déjà
cherchait	VERB	chercher
retrouvée	VERB	retrouver
esquives	NOUN	esquive
le	PRON	le
.	PUNCT	.
resterai	VERB	rester
répondu	VERB	répondre
aura	VERB	avoir
devant	ADP	devant
la	DET	le
double	NOUN	double
à	ADP	à
l'	DET	le
,	PUNCT	,
y	PRON	y
la	DET	le
comme	ADP	comme
chaise	NOUN	chaise
,	PUNCT	,
téléphone	NOUN	téléphone
un	DET	un
et	CCONJ	et
une	DET	un
le	DET	le
vides	NOUN	vide
importun	ADJ	importun
.	PUNCT	.
Je	PRON	je
poste	NOUN	poste
mes	DET	mon
a	AUX	avoir
pas	ADV	pas
assis	VERB	asseoir
sonné	VERB	sonner
je	PRON	je
manquent	VERB	manquer
me	PRON	me
que	SCONJ	que
.	PUNCT	.
ne	ADV	ne
De	ADP	de
,	PUNCT	,
pour	ADP	pour
pas	ADV	pas
son	DET	son
,	PUNCT	,
raison	NOUN	raison
yeux	NOUN	oeil
Le	DET	le
visage	NOUN	visage
qui	PRON	qui
bonne	ADJ	bon
détail	NOUN	détail
n'	ADV	n'
tiendrai	VERB	tenir
tel	ADJ	tel
.	PUNCT	.
bord	NOUN	bord
un	DET	un
visiteur	NOUN	visiteur
fixerai	VERB	fixer
pétrifié	NOUN	pétrifié
d'	ADP	de
second	ADJ	second
au	ADP	au
café	NOUN	café
à	ADP	à
devant	ADP	devant
Les	DET	le
de	ADP	de
soir	NOUN	soir
,	PUNCT	,
désarroi	NOUN	désarroi
cuisine	NOUN	cuisine
décroché	VERB	décrocher
sont	AUX	être
la	DET	le
dans	ADP	dans
devant	ADP	devant
était	AUX	être
absence	NOUN	absence
au	ADP	au
.	PUNCT	.
Je	PRON	je
appels	NOUN	appel
veille	NOUN	veille
le	DET	le
étroite	NOUN	étroite
étage	NOUN	étage
la	DET	le
,	PUNCT	,
buvais	VERB	boire
le	DET	le
.	PUNCT	.
Félix	PROPN	Félix
ces	DET	ce
l'	DET	le
resté	VERB	rester
musique	NOUN	musique
ont	AUX	avoir
depuis	ADP	depuis
dans	ADP	dans
.	PUNCT	.
l'	DET	le
vide	NOUN	vide
stridences	NOUN	stridence
retenti	VERB	retentir
devine	VERB	devine
,	PUNCT	,
qui	PRON	qui
de	ADP	de
l'	DET	le
son	DET	son
,	PUNCT	,
Je	PRON	je
la	DET	le
terrasse	ADJ	terrass
,	PUNCT	,
de	ADP	de
installer	VERB	installer
Un	DET	un
la	DET	le
demeure	VERB	demeure
la	DET	le
bruine	NOUN	bruine
avant	ADP	avant
de	ADP	de
.	PUNCT	.
de	ADP	de
.	PUNCT	.
De	ADP	de
.	PUNCT	.
Cévenne	PROPN	Cévenne
place	NOUN	place
l'	DET	le
plutôt	ADV	plutôt
Dans	ADP	dans
sous	ADP	sous
de	ADP	de
hiver	VERB	hiver
pluie	NOUN	pluie
,	PUNCT	,
toujours	ADV	toujours
ma	DET	mon
gorgée	VERB	gorger
le	DET	le
,	PUNCT	,
Une	DET	un
s'	PRON	se
de	ADP	de
d'	ADP	de
même	ADV	même
suintement	NOUN	suintement
.	PUNCT	.
la	DET	le
froid	NOUN	froid
brumes	NOUN	brume
où	PRON	où
se	PRON	se
dissout	ADJ	dissout
atmosphère	NOUN	atmosphère
mouillée	NOUN	mouillée
je	PRON	je
photo	NOUN	photo
,	PUNCT	,
petite	ADJ	petit
chow	NOUN	chow
vaguement	ADV	vaguement
devant	ADP	devant
assis	VERB	asseoir
tilleul	NOUN	tilleul
ma	DET	mon
,	PUNCT	,
sa	DET	son
Li	PROPN	Li
avec	ADP	avec
Cristobal	PROPN	Cristobal
,	PUNCT	,
cirée	VERB	cirer
Maï	PROPN	Maï
l'	DET	le
le	DET	le
prennent	VERB	prendre
bout	NOUN	bout
la	DET	le
observais	VERB	observer
ses	DET	son
avec	ADP	avec
chow	ADV	chow
j'	PRON	je
,	PUNCT	,
de	ADP	de
la	DET	le
autre	ADJ	autre
.	PUNCT	.
rosâtre	VERB	rosâtre
,	PUNCT	,
-	PROPN	-
,	PUNCT	,
Sans	ADP	sans
,	PUNCT	,
table	NOUN	table
,	PUNCT	,
à	ADP	à
branches	NOUN	branche
.	PUNCT	.
feuilles	NOUN	feuille
teinte	ADJ	teindre
Je	PRON	je
discutais	VERB	discuter
maison	NOUN	maison
-	NOUN	-
violacée	VERB	violacer
toile	NOUN	toile
une	DET	un
assis	ADJ	assis
.	PUNCT	.
midi	VERB	midi
évier	NOUN	évier
Toute	ADJ	tout
de	ADP	de
verte	ADJ	vert
était	AUX	être
,	PUNCT	,
tigrée	ADJ	tigré
décembre	NOUN	décembre
199	NUM	199
étagère	NOUN	étagère
bout	NOUN	bout
vieille	ADJ	vieux
matinée	NOUN	matinée
autour	ADV	autour
des	ADP	de
j'	PRON	je
?	PUNCT	?
-elle	PRON	lui
,	PUNCT	,
bureau	NOUN	bureau
,	PUNCT	,
tournait	VERB	tourner
la	DET	le
étais	AUX	être
resté	VERB	rester
,	PUNCT	,
-elle	PRON	lui
passé	VERB	passer
mon	DET	mon
chatte	NOUN	chatte
...	PUNCT	...
sur	ADP	sur
,	PUNCT	,
à	ADP	à
l'	DET	le
la	DET	le
près	ADV	près
,	PUNCT	,
l'	DET	le
?	PUNCT	?
ce	DET	ce
6	NUM	6
Sommeillait	VERB	sommeiller
Groseille	NOUN	groseille
Il	PRON	il
au	ADP	au
sécateurs	NOUN	sécateur
me	PRON	me
la	DET	le
dans	ADP	dans
robe	VERB	robe
m'	PRON	me
une	DET	un
de	ADP	de
,	PUNCT	,
.	PUNCT	.
arcades	NOUN	arcade
la	DET	le
grande	ADJ	grand
moi	PRON	moi
me	PRON	me
sous	ADP	sous
comme	ADP	comme
dans	ADP	dans
un	DET	un
piège	NOUN	piège
de	ADP	de
traînais	VERB	traîner
.	PUNCT	.
vain	ADJ	vain
bâtisse	NOUN	bâtisse
Je	PRON	je
,	PUNCT	,
où	PRON	où
je	PRON	je
un	DET	un
,	PUNCT	,
une	DET	un
en	ADP	en
les	DET	le
maison	NOUN	maison
mécontent	NOUN	mécontent
.	PUNCT	.
débattais	VERB	débattre
vieille	ADJ	vieux
apparaissait	VERB	apparaître
Sous	ADP	sous
lumière	NOUN	lumière
de	ADP	de
de	ADP	de
déliquescente	ADJ	déliquescent
,	PUNCT	,
chambre	NOUN	chambre
longue	ADJ	long
plomb	NOUN	plomb
Je	PRON	je
ciel	NOUN	ciel
ma	DET	mon
environné	VERB	environner
vieux	ADJ	vieux
,	PUNCT	,
l'	DET	le
je	PRON	je
sentais	ADV	sentais
son	DET	son
.	PUNCT	.
je	PRON	je
L'	DET	le
un	PRON	un
le	DET	le
restais	VERB	rester
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
reposaient	VERB	reposer
les	DET	le
derrière	ADP	derrière
tête	NOUN	tête
parterre	NOUN	parterre
évanouissaient	ADV	évanouissaient
ombres	NOUN	ombre
la	DET	le
et	CCONJ	et
témoins	NOUN	témoin
de	ADP	de
tous	ADJ	tout
vitres	NOUN	vitre
compagnon	NOUN	compagnon
s'	PRON	se
si	SCONJ	si
après	ADP	après
embuées	VERB	embuer
tournais	VERB	tourner
jeunesse	NOUN	jeunesse
voyais	VERB	voir
autre	PRON	autre
où	PRON	où
,	PUNCT	,
,	PUNCT	,
chienne	NOUN	chienne
Filou	PROPN	Filou
.	PUNCT	.
les	DET	le
d'	ADP	de
et	CCONJ	et
Je	PRON	je
ma	DET	mon
essoufflée	NOUN	essoufflée
plus	ADV	plus
ligne	NOUN	ligne
L'	DET	le
,	PUNCT	,
abriter	VERB	abriter
de	ADP	de
première	ADJ	premier
.	PUNCT	.
aucun	DET	aucun
que	SCONJ	que
Jacqueline	PROPN	Jacqueline
sonné	VERB	sonner
parla	VERB	parler
,	PUNCT	,
sous	ADP	sous
m'	PRON	me
allais	VERB	aller
parapluie	NOUN	parapluie
