dans	ADP	dans
gare	NOUN	gare
il	PRON	il
sept	NUM	sept
lui	PRON	lui
tôt	ADV	tôt
Une	DET	un
gare	NOUN	gare
tous	ADJ	tout
laquelle	PRON	lequel
couloir	VERB	couloir
déjà	ADV	déjà
c'	PRON	ce
presque	ADV	presque
situer	VERB	situer
du	ADP	de
est	AUX	être
encore	ADV	encore
,	PUNCT	,
heures	NOUN	heure
il	PRON	il
est	AUX	être
sens	NOUN	sens
il	PRON	il
importe	VERB	importe
faut	VERB	falloir
les	DET	le
gens	NOUN	gens
métro	NOUN	métro
peu	ADV	peu
y	PRON	y
même	ADJ	même
,	PUNCT	,
,	PUNCT	,
plus	ADV	plus
n'	ADV	n'
le	DET	le
,	PUNCT	,
venant	VERB	venir
nuit	VERB	nuire
a	AUX	avoir
,	PUNCT	,
Avant	ADP	avant
eu	VERB	avoir
un	DET	un
un	DET	un
s'	SCONJ	s'
la	DET	le
ou	CCONJ	ou
.	PUNCT	.
files	NOUN	file
qui	PRON	qui
est	AUX	être
couloir	VERB	couloir
salle	NOUN	salle
.	PUNCT	.
,	PUNCT	,
c'	PRON	ce
presse	NOUN	presse
contre	ADP	contre
descend	NOUN	descend
à	ADP	à
droit	ADJ	droit
se	PRON	se
.	PUNCT	.
vaste	ADJ	vaste
remontant	VERB	remonter
mécanique	ADJ	mécanique
souterrain	ADJ	souterrain
un	DET	un
,	PUNCT	,
l'	DET	le
une	DET	un
sur	ADP	sur
foule	NOUN	foule
Paris	PROPN	Paris
où	PRON	où
les	DET	le
carré	NOUN	carré
,	PUNCT	,
chance	VERB	chance
croisent	VERB	croiser
Lui	PRON	lui
la	DET	le
à	ADP	à
la	DET	le
se	PRON	se
Puis	CCONJ	puis
,	PUNCT	,
escalier	NOUN	escalier
aujourd'hui	ADV	aujourd'hui
angle	VERB	angle
qui	PRON	qui
,	PUNCT	,
le	DET	le
autre	NOUN	autre
arrivent	VERB	arriver
marche	VERB	marche
,	PUNCT	,
,	PUNCT	,
lui	PRON	lui
,	PUNCT	,
dressé	VERB	dresser
d'	ADP	de
