de	ADP	de
29	NUM	29
Ronsard	PROPN	Ronsard
heureux	ADJ	heureux
est	AUX	être
,	PUNCT	,
PROLOGUE	PROPN	PROLOGUE
de	ADP	de
de	ADP	de
le	DET	le
1586	NUM	1586
.	PUNCT	.
ciel	NOUN	ciel
,	PUNCT	,
cygne	NOUN	cygne
hier	ADV	hier
Cassandre	VERB	cassandre
la	PRON	le
en	ADP	en
renom	VERB	renom
à	ADP	à
,	PUNCT	,
près	ADV	près
1585	NUM	1585
est	AUX	être
Du	ADP	de
son	DET	son
prieuré	NOUN	prieuré
,	PUNCT	,
,	PUNCT	,
par	ADP	par
,	PUNCT	,
vendômois	NOUN	vendômoi
Pierre	PROPN	Pierre
lame	NOUN	lame
cœur	PROPN	cœur
Saint-Cosme	PROPN	Saint-Cosme
L'	DET	le
mort	VERB	mourir
ci	PRON	ci
JEAN	PROPN	JEAN
au	ADP	au
.	PUNCT	.
GODARD	PROPN	GODARD
,	PUNCT	,
partout	ADV	partout
décembre	NOUN	décembre
Tombeau	NOUN	tombeau
Tours	PROPN	Tours
cendre	VERB	cendre
de	ADP	de
les	DET	le
assisté	VERB	assister
aller	VERB	aller
combat	NOUN	combat
s'	PRON	se
sur	ADP	sur
a	AUX	avoir
m'	PRON	me
Peu	ADV	peu
au	ADP	au
long	NOUN	long
son	DET	son
de	ADP	de
minuit	NOUN	minuit
contre	ADP	contre
de	ADP	de
Galland	PROPN	Galland
douleur	NOUN	douleur
,	PUNCT	,
avant	ADP	avant
ami	NOUN	ami
personne	NOUN	personne
heures	NOUN	heure
temps	NOUN	temps
après	ADP	après
destructrice	NOUN	destructeur
,	PUNCT	,
la	DET	le
avait	AUX	avoir
jusqu'	ADP	jusque
en	ADP	en
.	PUNCT	.
du	ADP	de
demandé	VERB	demander
de	ADP	de
venir	VERB	venir
en	ADP	en
livré	VERB	livrer
Jean	PROPN	Jean
au	ADP	au
à	ADP	à
qui	PRON	qui
bout	NOUN	bout
tout	ADV	tout
il	PRON	il
