nouveau	ADJ	nouveau
.	PUNCT	.
crispées	VERB	crisper
travers	NOUN	travers
plus	ADV	plus
route	NOUN	route
1	NUM	1
mains	NOUN	main
risquait	VERB	risquer
,	PUNCT	,
elle	PRON	lui
roulait	VERB	rouler
s'	PRON	se
partir	VERB	partir
les	DET	le
plus	ADV	plus
la	DET	le
son	DET	son
.	PUNCT	.
le	DET	le
distinguer	VERB	distinguer
abattait	VERB	abattre
elle	PRON	lui
Whittier	PROPN	Whittier
de	ADP	de
plissa	VERB	plisser
A	ADP	à
chaque	DET	chaque
lentement	ADV	lentement
de	ADP	de
sur	ADP	sur
,	PUNCT	,
yeux	NOUN	oeil
de	ADP	de
pluie	NOUN	pluie
essayant	VERB	essayer
virage	NOUN	virage
à	ADP	à
en	ADP	en
sur	ADP	sur
le	DET	le
qui	PRON	qui
.	PUNCT	.
volant	NOUN	volant
,	PUNCT	,
rideau	NOUN	rideau
Kelly	PROPN	Kelly
Les	DET	le
de	ADP	de
pare-brise	NOUN	pare-brise
M	NOUN	m
aquaplaning	AUX	aquaplaning
des	DET	un
soirée	NOUN	soirée
le	DET	le
dans	ADP	dans
en	ADP	en
,	PUNCT	,
T	ADJ	t
n'	ADV	n'
se	PRON	se
détachèrent	VERB	détacher
de	ADP	de
Voilà	VERB	voilà
.	PUNCT	.
noir	ADJ	noir
destination	NOUN	destination
.	PUNCT	.
la	DET	le
,	PUNCT	,
sa	DET	son
le	PRON	le
...	PUNCT	...
Aucun	DET	aucun
pas	ADV	pas
doute	NOUN	doute
nuit	NOUN	nuit
.	PUNCT	.
de	ADP	de
elle	PRON	lui
lettres	NOUN	lettre
O	NOUN	o
Elle	PRON	lui
sur	ADP	sur
avait	AUX	avoir
atteindrait	VERB	atteindre
...	PUNCT	...
la	DET	le
fond	NOUN	fond
faire	VERB	faire
rouges	ADJ	rouge
prévu	VERB	prévoir
même	ADV	même
et	CCONJ	et
mouvantes	NOUN	mouvante
comme	SCONJ	comme
.	PUNCT	.
moment	NOUN	moment
...	PUNCT	...
Au	ADP	au
à	ADP	à
dont	PRON	dont
instant	NOUN	instant
goudronnée	VERB	goudronner
poignets	NOUN	poignet
l'	DET	le
ce	PRON	ce
Un	DET	un
peu	ADV	peu
dirigea	VERB	diriger
tête	NOUN	tête
sur	ADP	sur
du	ADP	de
Sauvée	VERB	sauver
.	PUNCT	.
sur	ADP	sur
sur	ADP	sur
coupa	VERB	couper
volant	NOUN	volant
qui	PRON	qui
dorée	VERB	dorer
motel	NOUN	motel
un	DET	un
avait	VERB	avoir
Thunderbird	PROPN	Thunderbird
besoin	NOUN	besoin
et	CCONJ	et
parvint	VERB	parvenir
le	DET	le
à	ADP	à
,	PUNCT	,
détendre	VERB	détendre
Elle	PRON	lui
ses	DET	son
l'	DET	le
la	DET	le
se	PRON	se
allée	NOUN	allée
croisés	VERB	croiser
et	CCONJ	et
elle	PRON	lui
entrée	NOUN	entrée
moteur	NOUN	moteur
posa	VERB	poser
la	DET	le
menait	VERB	mener
Kelly	PROPN	Kelly
.	PUNCT	.
.	PUNCT	.
le	DET	le
son	DET	son
eaux	NOUN	eau
d'	ADP	de
elle	PRON	lui
de	ADP	de
demain	ADV	demain
des	ADP	de
cessé	VERB	cesser
de	ADP	de
nuit	NOUN	nuit
soleil	NOUN	soleil
brillerait	VERB	briller
reprendre	VERB	reprendre
région	NOUN	région
passer	VERB	passer
feux	ADJ	feux
et	CCONJ	et
.	PUNCT	.
Comme	ADP	comme
serait	AUX	être
dormir	ADJ	dormir
la	DET	le
natif	ADJ	natif
Elle	PRON	lui
,	PUNCT	,
allait	VERB	aller
disait	VERB	dire
toujours	ADV	toujours
.	PUNCT	.
et	CCONJ	et
ici	ADV	ici
,	PUNCT	,
la	DET	le
probablement	ADV	probablement
dispose	VERB	dispose
ici	ADV	ici
grand-père	NOUN	grand-père
,	PUNCT	,
mille	NUM	mille
route	NOUN	route
là	ADV	là
pour	ADP	pour
tempête	NOUN	tempête
.	PUNCT	.
Le	DET	le
fraîche	ADJ	frais
.	PUNCT	.
aurait	AUX	avoir
la	DET	le
La	DET	le
.	PUNCT	.
«	NOUN	«
enfila	NOUN	enfila
minute	NOUN	minute
voyage	NOUN	voyage
attends	NOUN	attend
:	PUNCT	:
l'	DET	le
traverser	VERB	traverser
le	DET	le
son	DET	son
sac	NOUN	sac
coupe-vent	NOUN	coupe-vent
quelques	DET	quelque
aimes	ADJ	aime
de	ADP	de
,	PUNCT	,
le	DET	le
hors	ADP	hors
.	PUNCT	.
Ôklahoma	PROPN	Ôklahoma
noir	ADJ	noir
de	ADP	de
tu	NUM	tu
en	ADP	en
n'	ADV	n'
du	ADP	de
véhicule	NOUN	véhicule
bondir	VERB	bondir
Kelly	PROPN	Kelly
rapidement	ADV	rapidement
temps	NOUN	temps
pas	ADV	pas
de	ADP	de
saisit	VERB	saisir
temps	NOUN	temps
Le	DET	le
une	DET	un
et	CCONJ	et
sur	ADP	sur
avant	ADP	avant
son	DET	son
arrière	NOUN	arrière
de	ADP	de
prendre	VERB	prendre
»	PUNCT	»
Si	SCONJ	si
et	CCONJ	et
les	DET	le
siège	NOUN	siège
bien	ADV	bien
qui	PRON	qui
le	DET	le
petite	ADJ	petit
.	PUNCT	.
dans	ADP	dans
mètres	NOUN	mètre
derrière	ADP	derrière
tenait	VERB	tenir
vitrée	NOUN	vitrée
un	DET	un
air	NOUN	air
jusqu'	ADP	jusque
près	ADV	près
la	DET	le
autre	ADJ	autre
irruption	NOUN	irruption
.	PUNCT	.
,	PUNCT	,
réception	NOUN	réception
fit	VERB	faire
aux	ADP	à
se	PRON	se
séparaient	NOUN	séparaient
elle	PRON	lui
de	ADP	de
grand	ADJ	grand
et	CCONJ	et
homme	NOUN	homme
motel	NOUN	motel
comptoir	VERB	comptoir
,	PUNCT	,
porte	VERB	porte
compatissant	VERB	compatir
,	PUNCT	,
et	CCONJ	et
bâti	NOUN	bâti
la	DET	le
Un	DET	un
os	NOUN	os
lui	PRON	lui
trempée	ADJ	tremper
jeune	ADJ	jeune
sourit	VERB	sourire
d'	ADP	de
du	ADP	de
la	DET	le
homme	NOUN	homme
tout	ADV	tout
Le	DET	le
On	PRON	on
contemplant	VERB	contempler
cow	NOUN	cow
eau	NOUN	eau
les	DET	le
dégoulinait	VERB	dégouliner
,	PUNCT	,
de	ADP	de
venez	VERB	venir
un	DET	un
aux	ADP	à
yeux	NOUN	oeil
et	CCONJ	et
prendre	VERB	prendre
exposées	VERB	exposer
de	ADP	de
aussi	ADV	aussi
boue	NOUN	boue
visage	NOUN	visage
et	CCONJ	et
Lui	PROPN	Lui
couvertes	ADJ	couvert
vous	PRON	vous
cartes	NOUN	carte
.	PUNCT	.
postales	ADJ	postal
.	PUNCT	.
—	PUNCT	—
son	DET	son
bottes	NOUN	botte
-	NOUN	-
que	SCONJ	que
sur	ADP	sur
