suis	AUX	être
–	NOUN	–
?	PUNCT	?
Est	NOUN	est
'	PUNCT	'
demandé	VERB	demander
1	NUM	1
est	AUX	être
libre	ADJ	libre
un	PRON	un
répondu	VERB	répondre
...	PUNCT	...
pouvoir	VERB	pouvoir
lui	PRON	lui
,	PUNCT	,
lui	PRON	lui
a	AUX	avoir
endroit	NOUN	endroit
dit	VERB	dire
-ce	PRON	-ce
m'	PRON	me
quitter	VERB	quitter
plus	ADV	plus
‘	PROPN	‘
frères	NOUN	frère
Aujourd'hui	ADV	aujourd'hui
que	SCONJ	que
je	PRON	je
ai	AUX	avoir
supplice	NOUN	supplice
'	PUNCT	'
présent	NOUN	présent
l'	DET	le
'	PUNCT	'
de	ADP	de
des	ADP	de
à	ADP	à
:	PUNCT	:
Je	PRON	je
l'	DET	le
‘	NOUN	‘
ne	ADV	ne
l'	DET	le
Tu	ADJ	taire
as	AUX	avoir
un	DET	un
SÉPARATION	NOUN	séparation
on	PRON	on
que	SCONJ	que
où	PRON	où
plancher	VERB	plancher
L'	DET	le
'	PUNCT	'
'	PUNCT	'
la	DET	le
agir	VERB	agir
.	PUNCT	.
.	PUNCT	.
du	ADP	de
libère	NOUN	libère
était	AUX	être
assis	VERB	asseoir
,	PUNCT	,
où	PRON	où
mouvoir	VERB	mouvoir
du	ADP	de
d'	ADP	de
qui	PRON	qui
à	ADP	à
'	PUNCT	'
obligation	NOUN	obligation
ô	AUX	ô
près	ADV	près
de	ADP	de
l'	DET	le
me	PRON	me
même	ADV	même
le	DET	le
lotus	NOUN	lotus
que	PRON	que
Han	PROPN	Han
bois	NOUN	bois
me	PRON	me
dans	ADP	dans
vous	PRON	vous
de	ADP	de
de	ADP	de
.	PUNCT	.
position	NOUN	position
vous	PRON	vous
Fei	PROPN	Fei
êtes	ADJ	ête
toutes	ADJ	tout
-	PUNCT	-
tzu	NOUN	tzu
Menteurs	NOUN	menteur
incapacité	NOUN	incapacité
langues	NOUN	langue
lit	NOUN	lit
parlez	VERB	parler
déplacé	VERB	déplacer
son	DET	son
léger	ADJ	léger
?	PUNCT	?
,	PUNCT	,
si	ADV	si
reposait	VERB	reposer
un	DET	un
d'	ADP	de
-il	PRON	il
de	ADP	de
sa	DET	son
sûr	ADJ	sûr
papillon	NOUN	papillon
Se	PRON	se
aussi	ADV	aussi
dormi	ADP	dormi
à	ADP	à
que	SCONJ	que
Il	PRON	il
ait	AUX	avoir
.	PUNCT	.
ailes	NOUN	aile
souffrante	ADJ	souffrant
il	PRON	il
.	PUNCT	.
l'	DET	le
air	NOUN	air
subtil	NOUN	subtil
en	ADP	en
changement	NOUN	changement
les	DET	le
pouvait	VERB	pouvoir
femme	NOUN	femme
était	AUX	être
qu'	SCONJ	que
par	ADP	par
longtemps	ADV	longtemps
changement	VERB	changemer
Mais	CCONJ	mais
dans	ADP	dans
pas	ADV	pas
il	PRON	il
la	DET	le
respiration	NOUN	respiration
n'	ADV	n'
épouse	NOUN	épouse
constatait	VERB	constater
un	DET	un
présent	NOUN	présent
distinctement	ADV	distinctement
Jiang	PROPN	Jiang
maintenant	ADV	maintenant
,	PUNCT	,
Mais	CCONJ	mais
chez	ADP	chez
.	PUNCT	.
parlait	VERB	parler
maison	NOUN	maison
aussi	ADV	aussi
très	ADV	très
douce	VERB	douce
pas	ADV	pas
silencieuse	ADJ	silencieux
dû	VERB	devoir
Fei	PROPN	Fei
changement	NOUN	changement
longtemps	ADV	longtemps
tzu	NOUN	tzu
parce	SCONJ	parce
un	DET	un
parlé	VERB	parler
la	DET	le
qing	NOUN	qing
comme	ADP	comme
avait	AUX	avoir
l'	PRON	l'
entendait	VERB	entendre
-	PUNCT	-
elle	PRON	lui
.	PUNCT	.
car	CCONJ	car
elle	PRON	lui
.	PUNCT	.
n'	ADV	n'
détecter	VERB	détecter
,	PUNCT	,
lui	PRON	lui
Han	PROPN	Han
de	ADP	de
D'	ADP	de
avait	AUX	avoir
qu'	SCONJ	que
une	DET	un
voix	NOUN	voix
qu'	SCONJ	que
-	PROPN	-
elle	PRON	lui
était	AUX	être
et	CCONJ	et
seule	ADJ	seul
Il	PRON	il
faire	VERB	faire
le	DET	le
nuit	NOUN	nuit
silence	NOUN	silence
.	PUNCT	.
de	ADP	de
passerait	VERB	passer
et	CCONJ	et
long	NOUN	long
de	ADP	de
Jiang	PROPN	Jiang
lèvres	NOUN	lèvre
ses	DET	son
venir	VERB	venir
fassent	ADV	fassent
.	PUNCT	.
quand	ADV	quand
crépuscule	NOUN	crépuscule
ils	PRON	il
-	PROPN	-
ne	ADV	ne
requis	VERB	requérir
qu'	PRON	qu'
de	ADP	de
plus	ADV	plus
une	DET	un
,	PUNCT	,
la	DET	le
du	ADP	de
étouffée	NOUN	étouffée
amis	NOUN	ami
la	DET	le
vie	NOUN	vie
serviteurs	NOUN	serviteur
syllabe	NOUN	syllabe
pendant	ADP	pendant
à	ADP	à
qing	NOUN	qing
bruit	NOUN	bruit
de	ADP	de
aurait	AUX	avoir
tout	ADJ	tout
au	ADP	au
de	ADP	de
avait	AUX	avoir
loisir	NOUN	loisir
ses	DET	son
On	PRON	on
qu'	SCONJ	que
—	PUNCT	—
Ces	DET	ce
l'	PRON	l'
ou	CCONJ	ou
qu'	SCONJ	que
.	PUNCT	.
.	PUNCT	.
sa	DET	son
-elle	PRON	lui
abord	ADV	abord
semblé	ADJ	sembler
elle	PRON	lui
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
ainsi	ADV	ainsi
réveillée	VERB	réveiller
il	PRON	il
avait	AUX	avoir
est	AUX	être
s'	PRON	se
ainsi	ADV	ainsi
encore	ADV	encore
C'	PRON	ce
morte	ADV	morte
savait	VERB	savoir
désormais	ADV	désormais
mais	CCONJ	mais
chaque	DET	chaque
paroles	NOUN	parole
exprimait	VERB	exprimer
dit	VERB	dire
fantasques	ADJ	fantasque
fois	NOUN	fois
.	PUNCT	.
elle	PRON	lui
elle	PRON	lui
ironiques	ADJ	ironique
était	AUX	être
lui	PRON	lui
qu'	SCONJ	que
derniers	ADJ	dernier
avaient	VERB	avoir
d'	ADP	de
accueilli	VERB	accueillir
Pas	ADV	pas
jours	NOUN	jour
déception	NOUN	déception
ces	DET	ce
Telle	ADJ	tel
est	AUX	être
et	CCONJ	et
ait	AUX	avoir
ce	PRON	ce
elle	PRON	lui
C'	PRON	ce
inévitable	ADJ	inévitable
.	PUNCT	.
à	ADP	à
à	ADP	à
bras	NOUN	bras
mais	CCONJ	mais
Alors	ADV	alors
elle	PRON	lui
ne	ADV	ne
qu'	SCONJ	que
la	DET	le
peut	VERB	pouvoir
pas	ADV	pas
non	ADV	non
parce	SCONJ	parce
Voie	NOUN	voie
mort	NOUN	mort
,	PUNCT	,
qu'	PRON	qu'
éviter	VERB	éviter
.	PUNCT	.
se	PRON	se
la	DET	le
qu'	SCONJ	que
la	DET	le
désirait	VERB	désirer
ouverts	VERB	ouvrir
vie	NOUN	vie
présent	NOUN	présent
était	AUX	être
n'	ADV	n'
qui	PRON	qui
que	SCONJ	que
il	PRON	il
,	PUNCT	,
était	AUX	être
faut	VERB	falloir
accueillir	VERB	accueillir
aimé	VERB	aimer
la	DET	le
maintenant	ADV	maintenant
—	PUNCT	—
mort	NOUN	mort
autres	ADJ	autre
les	DET	le
sa	DET	son
—	PUNCT	—
pensées	NOUN	pensée
tzu	NOUN	tzu
,	PUNCT	,
était	AUX	être
qu'	PRON	qu'
,	PUNCT	,
de	ADP	de
partager	VERB	partager
-elle	PRON	lui
pensait	VERB	penser
envers	ADJ	envers
avec	ADP	avec
-	PUNCT	-
envisageons	NOUN	envisageon
.	PUNCT	.
Envers	NOUN	envers
Fei	NOUN	fei
.	PUNCT	.
ce	PRON	ce
sont	AUX	être
Han	PROPN	Han
cléments	ADJ	clément
Lorsque	SCONJ	lorsque
d'	DET	d'
elle	PRON	lui
,	PUNCT	,
manière	NOUN	manière
demandaient	ADV	demandaient
moi	PRON	moi
ses	DET	son
souffla	ADV	souffla
dit	VERB	dire
lui	PRON	lui
.	PUNCT	.
intimes	NOUN	intime
Qu'	PRON	qu'
de	ADP	de
-t	PART	-t
?	PUNCT	?
lui	PRON	lui
demander	VERB	demander
toi	ADV	toi
dieux	PRON	dieux
C'	PRON	ce
il	PRON	il
-nous	PRON	nous
nature	NOUN	nature
son	DET	son
c'	PRON	ce
ne	ADV	ne
qu'	SCONJ	que
-	PROPN	-
en	ADP	en
;	PUNCT	;
dit	VERB	dire
sentait	VERB	sentir
âmes	NOUN	âme
ne	ADV	ne
pouvoir	VERB	pouvoir
Fei	X	Fei
il	PRON	il
.	PUNCT	.
Jiang	PROPN	Jiang
pensées	NOUN	pensée
Nous	PRON	nous
le	PRON	le
Mais	CCONJ	mais
aligner	VERB	aligner
,	PUNCT	,
intérieur	NOUN	intérieur
.	PUNCT	.
,	PUNCT	,
envisageons	VERB	envisager
la	DET	le
—	PUNCT	—
demandait	VERB	demander
est	AUX	être
désir	NOUN	désir
se	PRON	se
faisaient	VERB	faire
que	ADV	que
espionné	VERB	espionner
du	ADP	de
qing	PRON	qing
une	DET	un
ses	DET	son
ainsi	ADV	ainsi
pour	ADP	pour
les	DET	le
que	SCONJ	que
leurs	DET	leur
lui	PRON	lui
for	ADP	for
siennes	NOUN	sienne
Han	PROPN	Han
sur	ADP	sur
Afin	ADV	afin
tzu	NOUN	tzu
reprendre	VERB	reprendre
de	ADP	de
brisent	VERB	briser
.	PUNCT	.
-	PUNCT	-
et	CCONJ	et
à	ADP	à
qui	PRON	qui
ils	PRON	il
ne	ADV	ne
j'	PRON	je
te	NOUN	te
désir	NOUN	désir
à	ADP	à
-elle	PRON	lui
voir	VERB	voir
moindre	ADJ	moindre
quoi	PRON	quoi
-t	PART	-t
ai	VERB	avoir
puisses	NOUN	puisse
—	PUNCT	—
demanda	ADJ	demanda
Le	DET	le
pression	NOUN	pression
.	PUNCT	.
la	DET	le
Le	DET	le
vigueur	ADJ	vigueur
tu	ADP	tu
de	ADP	de
se	PRON	se
désir	NOUN	désir
?	PUNCT	?
que	SCONJ	que
Et	CCONJ	et
pas	ADV	pas
de	ADP	de
,	PUNCT	,
que	PRON	que
os	NOUN	os
afin	ADP	afin
qu'	SCONJ	que
?	PUNCT	?
.	PUNCT	.
guérir	VERB	guérir
nouveau	ADJ	nouveau
tes	ADJ	te
tes	ADJ	te
debout	ADV	debout
pas	ADV	pas
ou	CCONJ	ou
ce	PRON	ce
des	ADP	de
tenir	VERB	tenir
sois	AUX	être
.	PUNCT	.
sans	ADP	sans
dépérir	VERB	dépérir
jusqu'	ADP	jusque
la	DET	le
n'	ADV	n'
le	DET	le
tu	ADP	tu
arrachent	VERB	arracher
Afin	ADV	afin
pèses	NOUN	pèse
fassent	ADV	fassent
muscles	ADJ	muscle
tension	NOUN	tension
actuels	ADJ	actuel
voire	CCONJ	voire
tes	ADJ	te
lever	VERB	lever
plus	ADV	plus
que	SCONJ	que
ne	ADV	ne
l'	DET	le
forcé	VERB	forcer
kilogrammes	NOUN	kilogramme
bras	NOUN	bras
à	ADP	à
os	NOUN	os
que	SCONJ	que
18	NUM	18
cartilages	NOUN	cartilage
que	SCONJ	que
.	PUNCT	.
de	ADP	de
sous	ADP	sous
je	PRON	je
te	ADP	te
voir	VERB	voir
casser	VERB	casser
,	PUNCT	,
ne	ADV	ne
Je	PRON	je
que	SCONJ	que
a	VERB	avoir
jamais	ADV	jamais
Mon	DET	mon
nous	PRON	nous
ne	ADV	ne
apprendre	VERB	apprendre
avais	VERB	avoir
.	PUNCT	.
Qui	PRON	qui
bonheur	NOUN	bonheur
—	PUNCT	—
«	NOUN	«
.	PUNCT	.
dit	VERB	dire
point	NOUN	point
que	SCONJ	que
d'	ADP	de
désir	NOUN	désir
qu'	PRON	qu'
ne	ADV	ne
avant	ADP	avant
—	PUNCT	—
»	PUNCT	»
à	ADP	à
parfait	VERB	parfaire
quel	DET	quel
on	PRON	on
n'	ADV	n'
ce	PRON	ce
plus	ADV	plus
désir	NOUN	désir
.	PUNCT	.
notre	DET	notre
On	PRON	on
rester	VERB	rester
était	AUX	être
pas	ADV	pas
que	SCONJ	que
convoite	VERB	convoite
Mon	DET	mon
pour	ADP	pour
ensemble	ADJ	ensembl
répondit	NOUN	répondit
toi	NOUN	toi
.	PUNCT	.
pourrions	VERB	pouvoir
su	VERB	savoir
-il	PRON	il
a	AUX	avoir
,	PUNCT	,
On	PRON	on
?	PUNCT	?
Ce	PRON	ce
«	NOUN	«
»	PUNCT	»
disent	VERB	dire
cela	PRON	cela
«	NOUN	«
convoiter	VERB	convoiter
Fei	X	Fei
pas	ADV	pas
avoir	VERB	avoir
avoir	VERB	avoir
ce	PRON	ce
dit	VERB	dire
,	PUNCT	,
Certains	PRON	certains
D'	DET	d'
dis	ADP	dis
Ce	PRON	ce
.	PUNCT	.
.	PUNCT	.
véritablement	ADV	véritablement
Toi	PROPN	Toi
tzu	NOUN	tzu
,	PUNCT	,
:	PUNCT	:
«	NOUN	«
je	PRON	je
on	PRON	on
qu'	PRON	qu'
peut	VERB	pouvoir
Han	PROPN	Han
.	PUNCT	.
ne	ADV	ne
-	PUNCT	-
ne	ADV	ne
:	PUNCT	:
Moi	PROPN	Moi
»	PUNCT	»
on	PRON	on
peut	VERB	pouvoir
disent	VERB	dire
ne	ADV	ne
devrait	VERB	devoir
qu'	PRON	qu'
—	PUNCT	—
:	PUNCT	:
que	SCONJ	que
autres	ADJ	autre
.	PUNCT	.
on	PRON	on
semaine	NOUN	semaine
toujours	ADV	toujours
du	ADP	de
as	VERB	avoir
qu'	PRON	qu'
la	DET	le
elle	PRON	lui
.	PUNCT	.
donc	ADV	donc
la	DET	le
ce	DET	ce
de	ADP	de
en	ADP	en
,	PUNCT	,
m'	PRON	me
Ou	CCONJ	ou
Jiang	PROPN	Jiang
.	PUNCT	.
Tu	PROPN	Tu
soir	NOUN	soir
,	PUNCT	,
pour	ADP	pour
—	PUNCT	—
toujours	ADV	toujours
-	PROPN	-
