amour	NOUN	amour
les	DET	le
les	DET	le
Où	ADV	où
Alexandre	PROPN	Alexandre
CHRISTIANE	NOUN	christiane
Ouvre	VERB	ouvrir
rejette	VERB	rejeter
être	AUX	être
tu	PRON	tu
cessait	VERB	cesser
de	ADP	de
Cette	DET	ce
récréation	NOUN	récréation
yeux	NOUN	oeil
vers	ADP	vers
.	PUNCT	.
jeune	ADJ	jeune
femmes	NOUN	femme
est	AUX	être
ouverts	VERB	ouvrir
question	NOUN	question
d'	ADP	de
dans	ADP	dans
avoir	AUX	avoir
les	DET	le
.	PUNCT	.
L'	DET	le
les	DET	le
vraie	NOUN	vraie
émotions	NOUN	émotion
loin	ADV	loin
que	SCONJ	que
conduire	VERB	conduire
vie	NOUN	vie
crois	VERB	croire
,	PUNCT	,
SINGER	PROPN	SINGER
Rivière	PROPN	Rivière
de	ADP	de
aquarellées	VERB	aquareller
?	PUNCT	?
,	PUNCT	,
,	PUNCT	,
ne	ADV	ne
la	DET	le
yeux	NOUN	oeil
qui	PRON	qui
une	DET	un
homme	NOUN	homme
l'	DET	le
avait	AUX	avoir
dégoût	NOUN	dégoût
,	PUNCT	,
tôt	ADV	tôt
d'	ADP	de
,	PUNCT	,
Le	DET	le
en	PRON	en
unique	ADJ	unique
avait	AUX	avoir
saisi	VERB	saisir
capables	ADJ	capable
vraiment	ADV	vraiment
lui	PRON	lui
seul	ADJ	seul
continuer	VERB	continuer
son	DET	son
irrévocable	NOUN	irrévocable
l'	DET	le
pour	ADP	pour
d'	ADP	de
l'	DET	le
été	VERB	être
valable	ADJ	valable
pour	ADP	pour
penchant	VERB	pencher
pour	ADP	pour
son	DET	son
des	ADP	de
d'	ADP	de
sexe	NOUN	sexe
l'	DET	le
très	ADV	très
rares	ADJ	rare
prétexte	NOUN	prétexte
autre	ADJ	autre
exister	VERB	exister
;	PUNCT	;
atténuer	VERB	atténuer
être	AUX	être
opiums	NOUN	opium
joyeux	ADJ	joyeux
né	VERB	naître
l'	PRON	l'
un	PRON	un
toujours	ADV	toujours
.	PUNCT	.
soulageait	VERB	soulager
pessimisme	NOUN	pessimisme
trente-deux	NUM	trente-deux
Prisonnier	NOUN	prisonnier
se	PRON	se
de	ADP	de
trop	ADV	trop
distribuait	VERB	distribuer
.	PUNCT	.
pour	ADP	pour
tracassait	NOUN	tracassait
Rivière	PROPN	Rivière
le	PRON	le
chagrinait	VERB	chagriner
et	CCONJ	et
une	DET	un
gaieté	NOUN	gaieté
Mais	CCONJ	mais
,	PUNCT	,
de	ADP	de
amour	NOUN	amour
lui	PRON	lui
plaisirs	NOUN	plaisir
de	ADP	de
le	DET	le
son	DET	son
les	DET	le
officielle	ADJ	officiel
,	PUNCT	,
à	ADP	à
l'	DET	le
occasions	NOUN	occasion
persuader	VERB	persuader
,	PUNCT	,
,	PUNCT	,
pas	ADV	pas
de	ADP	de
agglomérait	VERB	agglomérer
ans	NOUN	an
autour	ADV	autour
.	PUNCT	.
rire	NOUN	rire
que	SCONJ	que
jouir	NOUN	jouir
,	PUNCT	,
vivre	VERB	vivre
ne	ADV	ne
des	DET	un
de	ADP	de
peut-être	ADV	peut-être
comme	ADP	comme
tout	ADV	tout
vivant	NOUN	vivant
annoncée	VERB	annoncer
avait	AUX	avoir
désorienté	VERB	désorienter
d'	ADP	de
l'	PRON	l'
défaite	NOUN	défaite
Alexandre	PROPN	Alexandre
en	ADP	en
des	ADP	de
rencontre	VERB	rencontre
les	DET	le
être	AUX	être
d'	ADP	de
la	DET	le
fille	NOUN	fille
épouse	NOUN	épouse
des	DET	un
pour	ADP	pour
;	PUNCT	;
son	DET	son
saupoudré	VERB	saupoudrer
vie	NOUN	vie
Longtemps	ADV	longtemps
de	ADP	de
,	PUNCT	,
trouver	VERB	trouver
le	DET	le
que	SCONJ	que
,	PUNCT	,
admis	VERB	admettre
la	DET	le
géographie	NOUN	géographie
attentes	NOUN	attente
après	ADP	après
besoins	NOUN	besoin
de	ADP	de
avait	AUX	avoir
une	DET	un
dans	ADP	dans
qu'	SCONJ	que
s'	PRON	se
diverses	ADJ	divers
on	PRON	on
ne	ADV	ne
puis	CCONJ	puis
.	PUNCT	.
,	PUNCT	,
essayant	NOUN	essayant
liaisons	NOUN	liaison
.	PUNCT	.
répondre	VERB	répondre
son	DET	son
,	PUNCT	,
dédommageait	NOUN	dédommageait
ses	DET	son
y	PRON	y
touchant	VERB	toucher
osant	VERB	oser
essentiels	ADJ	essentiel
sa	DET	son
femme	NOUN	femme
à	ADP	à
vraies	NOUN	vraie
les	DET	le
n'	ADV	n'
voire	CCONJ	voire
Comme	ADP	comme
qu'	SCONJ	que
étaient	AUX	être
,	PUNCT	,
vieillir	VERB	vieillir
compagne	NOUN	compagne
Comme	ADP	comme
Jeanne	PROPN	Jeanne
si	SCONJ	si
un	DET	un
homme	NOUN	homme
être	AUX	être
plus	ADV	plus
dû	NOUN	dû
une	DET	un
désirs	NOUN	désir
le	DET	le
grands	ADJ	grand
de	ADP	de
Seule	ADJ	seul
ressentiments	NOUN	ressentiment
de	ADP	de
.	PUNCT	.
d'	ADP	de
maîtres	NOUN	maître
,	PUNCT	,
intimité	NOUN	intimité
,	PUNCT	,
ses	DET	son
.	PUNCT	.
en	ADP	en
les	DET	le
si	SCONJ	si
avait	AUX	avoir
et	CCONJ	et
les	DET	le
il	PRON	il
savait	VERB	savoir
ce	PRON	ce
questions	NOUN	question
fuyait	VERB	fuir
sept	NUM	sept
l'	PRON	l'
,	PUNCT	,
Rivière	PROPN	Rivière
de	ADP	de
que	SCONJ	que
pas	ADV	pas
.	PUNCT	.
tout	ADJ	tout
.	PUNCT	.
ferveur	NOUN	ferveur
était	AUX	être
fréquenter	VERB	fréquenter
sa	DET	son
pendant	ADP	pendant
l'	PRON	l'
à	ADP	à
épargnant	VERB	épargner
,	PUNCT	,
Alexandre	PROPN	Alexandre
Avec	ADP	avec
même	ADV	même
aspirations	NOUN	aspiration
espéré	VERB	espérer
pouvait	VERB	pouvoir
se	PRON	se
les	DET	le
autoriser	VERB	autoriser
donc	ADV	donc
qu'	PRON	qu'
hémiplégique	ADJ	hémiplégique
