finit	VERB	finir
.	PUNCT	.
en	ADP	en
nuit	NOUN	nuit
!	PUNCT	!
le	DET	le
1	NUM	1
désintègre	VERB	désintégrer
Indifférent	NOUN	indifférent
géantes	ADJ	géant
,	PUNCT	,
«	NOUN	«
«	NOUN	«
la	DET	le
Les	DET	le
crépite	NOUN	crépite
escaladent	ADV	escaladent
se	PRON	se
s'	PRON	se
-	ADJ	-
solide	VERB	solide
shockrock	ADJ	shockrock
.	PUNCT	.
des	ADP	de
lumière	NOUN	lumière
martyrs	NOUN	martyr
enflamme	NOUN	enflamme
et	CCONJ	et
,	PUNCT	,
.	PUNCT	.
fumée	NOUN	fumée
exploser	VERB	exploser
lettres	NOUN	lettre
furia	VERB	furier
Régulièrement	ADV	régulièrement
de	ADP	de
par	ADP	par
ciel	NOUN	ciel
»	PUNCT	»
»	PUNCT	»
lourde	NOUN	lourde
,	PUNCT	,
,	PUNCT	,
et	CCONJ	et
roulante	ADJ	roulant
mauve	NOUN	mauve
Stade	NOUN	stade
se	PRON	se
à	ADP	à
dissocie	VERB	dissocier
dépasse	VERB	dépasser
de	ADP	de
-il	PRON	il
sigle	NOUN	sigle
(	PUNCT	(
cyclique	ADJ	cyclique
compression	NOUN	compression
-t	PART	-t
.	PUNCT	.
,	PUNCT	,
son	DET	son
copain	NOUN	copain
moins	ADV	moins
—	PUNCT	—
de	ADP	de
vérité	NOUN	vérité
transformation	NOUN	transformation
de	ADP	de
l'	DET	le
.	PUNCT	.
la	DET	le
cent	NUM	cent
mètres	NOUN	mètre
foule	NOUN	foule
contemple	ADJ	contempl
autour	ADV	autour
ensemble	NOUN	ensemble
ne	ADV	ne
,	PUNCT	,
Ça	PROPN	Ça
,	PUNCT	,
trente	NUM	trente
lui	PRON	lui
.	PUNCT	.
fait	NOUN	fait
Bozo	PROPN	Bozo
pas	ADV	pas
du	ADP	de
En	ADP	en
mètres	NOUN	mètre
impressionné	VERB	impressionner
au	ADP	au
!	PUNCT	!
,	PUNCT	,
à	ADP	à
—	PUNCT	—
la	DET	le
hurle	NOUN	hurle
)	PUNCT	)
haut	ADJ	haut
.	PUNCT	.
as	NOUN	as
d'	ADP	de
.	PUNCT	.
scène	NOUN	scène
ton	NOUN	ton
T'	NOUN	t'
clin	NOUN	clin
autant	ADV	autant
répond	VERB	répondre
cou	NOUN	cou
vers	ADP	vers
les	DET	le
Il	PRON	il
,	PUNCT	,
pardessus	ADP	pardessus
un	DET	un
Il	PRON	il
houle	NOUN	houle
Tu	ADP	tu
d'	ADP	de
synapses	NOUN	synapse
fait	NOUN	fait
rien	PRON	rien
copain	NOUN	copain
vu	VERB	voir
des	ADP	de
tignasses	NOUN	tignasse
la	DET	le
en	PRON	en
œil	NOUN	œil
en	ADP	en
lui	PRON	lui
la	DET	le
prendre	VERB	prendre
son	DET	son
Bozo	PROPN	Bozo
blasé	VERB	blaser
,	PUNCT	,
!	PUNCT	!
et	CCONJ	et
plein	ADJ	plein
jette	VERB	jeter
tend	VERB	tendre
le	DET	le
vas	NOUN	va
encore	ADV	encore
un	DET	un
.	PUNCT	.
lui	PRON	lui
éblouis	VERB	éblouir
se	PRON	se
identifier	VERB	identifier
des	ADP	de
et	CCONJ	et
dent	NOUN	dent
ne	ADV	ne
d'	ADP	de
instruments	NOUN	instrument
spectres	NOUN	spectre
mais	CCONJ	mais
ils	PRON	il
faisceaux	NOUN	faisceau
éclaboussés	VERB	éclabousser
.	PUNCT	.
trop	ADV	trop
-	ADJ	-
lasers	NOUN	laser
.	PUNCT	.
instruments	NOUN	instrument
saraban	NOUN	saraban
denses	VERB	denser
les	DET	le
rien	PRON	rien
,	PUNCT	,
encore	ADV	encore
Ses	DET	son
yeux	NOUN	oeil
vite	ADV	vite
poursuivis	VERB	poursuivre
ces	DET	ce
sur	ADP	sur
Des	DET	un
bougent	VERB	bouger
par	ADP	par
dansent	VERB	danser
glissent	VERB	glisser
autour	ADV	autour
changent	ADV	changent
des	ADP	de
holos	NOUN	holo
les	DET	le
Bozo	PROPN	Bozo
fugitifs	ADJ	fugitif
,	PUNCT	,
,	PUNCT	,
passe	VERB	passer
essaie	VERB	essayer
,	PUNCT	,
.	PUNCT	.
et	CCONJ	et
lumières	NOUN	lumière
une	DET	un
certaine	ADJ	certain
claviers	NOUN	clavier
confèrent	VERB	conférer
de	ADP	de
d'	ADP	de
comme	ADP	comme
batteries	NOUN	batterie
les	DET	le
consoles	NOUN	console
une	DET	un
diamant	NOUN	diamant
.	PUNCT	.
taillés	VERB	tailler
leur	DET	leur
,	PUNCT	,
la	DET	le
transparence	NOUN	transparence
Neutrinx	PROPN	Neutrinx
galaxie	NOUN	galaxie
bouton	NOUN	bouton
,	PUNCT	,
projecteurs	NOUN	projecteur
chatoyantes	ADJ	chatoyant
glace	NOUN	glace
,	PUNCT	,
dans	ADP	dans
chaque	DET	chaque
sourde	NOUN	sourde
chaque	DET	chaque
Des	DET	un
et	CCONJ	et
cymbale	NOUN	cymbale
de	ADP	de
enchâssent	ADV	enchâssent
une	DET	un
semblent	VERB	sembler
miniature	ADJ	miniature
flamme	NOUN	flamme
est	AUX	être
guitares	NOUN	guitare
intérieure	NOUN	intérieure
,	PUNCT	,
:	PUNCT	:
profondes	VERB	profonder
vibrent	VERB	vibrer
un	DET	un
les	DET	le
scène	NOUN	scène
chaque	DET	chaque
son	DET	son
pas	ADV	pas
tout	ADV	tout
,	PUNCT	,
,	PUNCT	,
de	ADP	de
,	PUNCT	,
un	DET	un
...	PUNCT	...
Il	PRON	il
,	PUNCT	,
cohue	NOUN	cohue
dents	NOUN	dent
un	DET	un
