régions	NOUN	région
.	PUNCT	.
A	ADP	à
du	ADP	de
passage	NOUN	passage
le	DET	le
1	NUM	1
?	PUNCT	?
haussa	NOUN	haussa
,	PUNCT	,
annonce	VERB	annoncer
pas	ADV	pas
.	PUNCT	.
épaules	NOUN	épaule
ouragan	VERB	ouragan
l'	DET	le
inspectait	VERB	inspecter
êtes	AUX	être
Hannah	PROPN	Hannah
Cessna	PROPN	Cessna
qui	PRON	qui
—	PUNCT	—
mécanicien	NOUN	mécanicien
mot	NOUN	mot
,	PUNCT	,
«	ADJ	«
dans	ADP	dans
nos	DET	notre
ouragan	PROPN	ouragan
releva	VERB	relever
ma	DET	mon
Le	DET	le
»	PUNCT	»
le	DET	le
la	DET	le
Samantha	PROPN	Samantha
.	PUNCT	.
fuselage	NOUN	fuselage
de	ADP	de
Vous	PRON	vous
connaissance	NOUN	connaissance
tête	NOUN	tête
,	PUNCT	,
on	PRON	on
n'	ADV	n'
,	PUNCT	,
Au	ADP	au
Leroy	PROPN	Leroy
les	DET	le
sûr	ADJ	sûr
de	ADP	de
,	PUNCT	,
inquiéter	VERB	inquiéter
puis	CCONJ	puis
dans	ADP	dans
réservoir	NOUN	réservoir
et	CCONJ	et
vous	PRON	vous
!	PUNCT	!
terminé	VERB	terminer
rien	PRON	rien
d'	ADP	de
support	NOUN	support
un	DET	un
l'	DET	le
cela	PRON	cela
le	DET	le
Pas	ADV	pas
juste	ADV	juste
enroula	VERB	enrouler
soigneusement	ADV	soigneusement
.	PUNCT	.
grand-mère	NOUN	grand-mère
plein	NOUN	plein
referma	VERB	refermer
de	ADP	de
les	DET	le
prévisions	NOUN	prévision
,	PUNCT	,
tuyau	NOUN	tuyau
,	PUNCT	,
vieille	ADJ	vieux
appareil	NOUN	appareil
officiel	ADJ	officiel
sur	ADP	sur
,	PUNCT	,
ma	DET	mon
,	PUNCT	,
tout	DET	tout
—	PUNCT	—
mademoiselle	ADJ	mademoisell
son	DET	son
peine	NOUN	peine
Ward	PROPN	Ward
,	PUNCT	,
le	DET	le
le	DET	le
de	ADP	de
Et	CCONJ	et
la	DET	le
,	PUNCT	,
sourire	ADJ	sourir
peur	NOUN	peur
Samantha	PROPN	Samantha
la	DET	le
soulagement	NOUN	soulagement
large	NOUN	large
eu	VERB	avoir
ses	DET	son
,	PUNCT	,
instant	NOUN	instant
,	PUNCT	,
!	PUNCT	!
,	PUNCT	,
visage	NOUN	visage
femme	NOUN	femme
grand	ADJ	grand
vrai	ADJ	vrai
riant	VERB	rire
.	PUNCT	.
plus	ADV	plus
C'	PRON	ce
avec	ADP	avec
éclaira	VERB	éclairer
le	DET	le
son	DET	son
.	PUNCT	.
Ah	ADV	ah
en	ADP	en
Farceur	PROPN	Farceur
l'	DET	le
aïeule	NOUN	aïeul
basané	ADJ	basané
avoua	VERB	avouer
,	PUNCT	,
pour	ADP	pour
votre	DET	votre
de	ADP	de
