,	PUNCT	,
Libération	PROPN	Libération
iranienne	ADJ	iranien
,	PUNCT	,
brut	ADJ	brut
d'	ADP	de
Prologue	PROPN	Prologue
récolte	NOUN	récolte
Turquie	PROPN	Turquie
«	NOUN	«
tonnes	NOUN	tonne
d'	ADP	de
Afghanistan	PROPN	Afghanistan
puis	CCONJ	puis
1980	NUM	1980
Opium	NOUN	opium
maintenant	ADV	maintenant
année	NOUN	année
dans	ADP	dans
du	ADP	de
arrive	VERB	arrive
.	PUNCT	.
en	ADP	en
15	NUM	15
héroïne	NOUN	héroïne
janvier	NOUN	janvier
ces	DET	ce
pays	NOUN	pays
raffiné	VERB	raffiner
,	PUNCT	,
a	AUX	avoir
surtout	ADV	surtout
:	PUNCT	:
opium	NOUN	opium
et	CCONJ	et
L'	DET	le
et	CCONJ	et
Iran	PROPN	Iran
.	PUNCT	.
L'	DET	le
produit	VERB	produire
d'	ADP	de
,	PUNCT	,
1	DET	1
500	DET	500
Pakistan	PROPN	Pakistan
,	PUNCT	,
la	DET	le
,	PUNCT	,
dernière	ADJ	dernier
overdoses	NOUN	overdose
par	ADP	par
au	ADP	au
à	ADP	à
Allemagne	PROPN	Allemagne
héroïne	NOUN	héroïne
transporté	VERB	transporter
(	PUNCT	(
à	ADP	à
.	PUNCT	.
)	PUNCT	)
.	PUNCT	.
mexicaine	ADJ	mexicain
de	ADP	de
Europe	PROPN	Europe
il	PRON	il
cette	DET	ce
pure	NOUN	pur
a	AUX	avoir
la	DET	le
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
vers	ADP	vers
attention	NOUN	attention
l'	DET	le
eu	VERB	avoir
600	NUM	600
y	PRON	y
de	ADP	de
lieu	NOUN	lieu
1979	NUM	1979
occidentale	ADJ	occidental
En	ADP	en
la	DET	le
Mais	CCONJ	mais
en	ADP	en
,	PUNCT	,
,	PUNCT	,
est	AUX	être
de	ADP	de
production	NOUN	production
20	NUM	20
3,5	NUM	3,5
%	NOUN	pourcent
différence	NOUN	différence
route	NOUN	route
%	NOUN	pourcent
cause	NOUN	cause
à	ADP	à
au	ADP	au
nouvelle	ADJ	nouveau
la	DET	le
,	PUNCT	,
coin	NOUN	coin
déjà	ADV	déjà
cette	DET	ce
de	ADP	de
pas	ADV	pas
est	AUX	être
.	PUNCT	.
Dans	ADP	dans
de	ADP	de
haut	ADJ	haut
La	DET	le
une	DET	un
et	CCONJ	et
lit	NOUN	lit
Louis	PROPN	Louis
assise	VERB	asseoir
enfantine	NOUN	enfantine
ce	DET	ce
frigo	NOUN	frigo
.	PUNCT	.
,	PUNCT	,
»	PUNCT	»
XV	ADJ	xv
,	PUNCT	,
bergère	NOUN	bergère
nue	NOUN	nue
pièce	NOUN	pièce
un	DET	un
fille	NOUN	fille
un	DET	un
au	ADP	au
là	ADV	là
fond	NOUN	fond
blasée	VERB	blaser
,	PUNCT	,
grand	ADJ	grand
entourée	VERB	entourer
bord	NOUN	bord
au	ADP	au
de	ADP	de
miroirs	NOUN	miroir
toute	ADJ	tout
héroïne	NOUN	héroïne
centre	NOUN	centre
plus	ADV	plus
blanc	ADJ	blanc
les	DET	le
une	DET	un
est	AUX	être
.	PUNCT	.
regarde	VERB	regarde
et	CCONJ	et
qu'	SCONJ	que
Il	PRON	il
cou	NOUN	cou
verres	NOUN	verre
.	PUNCT	.
Elle	PRON	lui
en	ADP	en
taureau	NOUN	taureau
,	PUNCT	,
,	PUNCT	,
coupes	NOUN	coupe
L'	DET	le
évalue	NOUN	évalue
Elle	PRON	lui
,	PUNCT	,
chantonnant	NOUN	chantonnant
,	PUNCT	,
.	PUNCT	.
flûtes	NOUN	flûte
Dessus	ADV	dessus
.	PUNCT	.
Dans	ADP	dans
l'	DET	le
doucement	ADV	doucement
nu	ADV	nu
ans	NOUN	an
des	ADP	de
le	PRON	le
ses	DET	son
,	PUNCT	,
45	NUM	45
autres	ADJ	autre
attentivement	ADV	attentivement
.	PUNCT	.
,	PUNCT	,
jambes	NOUN	jambe
entre	ADP	entre
lui	PRON	lui
aussi	ADV	aussi
balance	NOUN	balance
table	NOUN	table
.	PUNCT	.
de	ADP	de
homme	NOUN	homme
s'	SCONJ	s'
gras	NOUN	gras
et	CCONJ	et
chauve	ADJ	chauve
Lui	NOUN	lui
un	DET	un
,	PUNCT	,
sourit	VERB	sourire
ralenti	PROPN	ralenti
et	CCONJ	et
sa	DET	son
direction	NOUN	direction
rousse	VERB	rousse
se	PRON	se
petit	ADJ	petit
mine	NOUN	mine
,	PUNCT	,
poitrine	NOUN	poitrine
,	PUNCT	,
,	PUNCT	,
maigres	ADJ	maigre
sur	ADP	sur
au	ADP	au
avec	ADP	avec
jambes	NOUN	jambe
un	DET	un
marche	VERB	marche
comme	ADP	comme
gourmande	ADJ	gourmand
une	DET	un
fait	VERB	faire
glissait	VERB	glisser
cul	NOUN	cul
.	PUNCT	.
vraie	NOUN	vraie
des	ADP	de
il	PRON	il
peu	ADV	peu
,	PUNCT	,
la	DET	le
un	DET	un
toison	NOUN	toison
Elle	PRON	lui
geste	NOUN	geste
dans	ADP	dans
mais	CCONJ	mais
,	PUNCT	,
lui	PRON	lui
,	PUNCT	,
.	PUNCT	.
il	PRON	il
vers	ADP	vers
lève	VERB	lever
généreux	ADJ	généreux
geste	NOUN	geste
