notion	NOUN	notion
Jack	PROPN	Jack
nuit	NOUN	nuit
les	DET	le
,	PUNCT	,
et	CCONJ	et
Prologue	PROPN	Prologue
La	DET	le
Une	DET	un
se	PRON	se
sur	ADP	sur
San	PROPN	San
scintillaient	VERB	scintiller
image	NOUN	image
.	PUNCT	.
il	PRON	il
fenêtre	NOUN	fenêtre
de	ADP	de
avait	VERB	avoir
lumières	NOUN	lumière
la	DET	le
le	DET	le
.	PUNCT	.
était	AUX	être
vers	ADP	vers
mort	NOUN	mort
plus	ADV	plus
la	DET	le
n'	ADV	n'
la	DET	le
était	AUX	être
temps	NOUN	temps
Raphaël	PROPN	Raphaël
Diego	PROPN	Diego
ville	NOUN	ville
dirigea	VERB	diriger
du	ADP	de
contempla	VERB	contempler
mais	CCONJ	mais
long	NOUN	long
tombée	VERB	tomber
qui	PRON	qui
côte	PROPN	côte
depuis	ADP	depuis
longtemps	ADV	longtemps
de	ADP	de
Thomas	PROPN	Thomas
.	PUNCT	.
seule	ADJ	seul
la	DET	le
.	PUNCT	.
sans	ADP	sans
un	DET	un
de	ADP	de
whisky	NOUN	whisky
Le	DET	le
revenait	VERB	revenir
réprima	VERB	réprimer
de	ADP	de
lancinante	ADJ	lancinant
autre	ADJ	autre
gorgée	ADJ	gorger
bitume	NOUN	bitume
pour	ADP	pour
esprit	NOUN	esprit
Un	DET	un
.	PUNCT	.
Sans	ADP	sans
ne	ADV	ne
son	DET	son
obsession	NOUN	obsession
froid	ADJ	froid
besoin	NOUN	besoin
à	ADP	à
une	DET	un
son	DET	son
suffirait	VERB	suffire
pas	ADV	pas
verre	NOUN	verre
étendu	VERB	étendre
frisson	NOUN	frisson
avait	VERB	avoir
,	PUNCT	,
de	ADP	de
sur	ADP	sur
comme	ADP	comme
Il	PRON	il
corps	NOUN	corps
.	PUNCT	.
.	PUNCT	.
en	ADP	en
le	DET	le
.	PUNCT	.
avalant	VERB	avaler
une	DET	un
ami	NOUN	ami
cesse	NOUN	cesse
Il	PRON	il
boire	VERB	boire
vie	NOUN	vie
avait	AUX	avoir
ses	DET	son
en	ADP	en
oublier	VERB	oublier
caractère	NOUN	caractère
pas	ADV	pas
calmer	VERB	calmer
police	NOUN	police
.	PUNCT	.
l'	DET	le
pourtant	ADV	pourtant
endurci	VERB	endurcir
sa	DET	son
jamais	ADV	jamais
savait	VERB	savoir
Dieu	PROPN	Dieu
aiderait	VERB	aider
Six	NUM	Six
s'	SCONJ	s'
,	PUNCT	,
l'	PRON	l'
douleur	NOUN	douleur
cadavres	NOUN	cadavre
.	PUNCT	.
ne	ADV	ne
Il	PRON	il
il	PRON	il
en	PRON	en
sait	VERB	savoir
seulement	ADV	seulement
tant	ADV	tant
des	DET	un
que	SCONJ	que
son	DET	son
à	ADP	à
alcool	NOUN	alcool
vu	VERB	voir
à	ADP	à
.	PUNCT	.
.	PUNCT	.
qu'	SCONJ	que
anesthésier	VERB	anesthésier
dans	ADP	dans
inspecteur	NOUN	inspecteur
avaient	AUX	avoir
mais	CCONJ	mais
nerfs	NOUN	nerf
la	DET	le
Mais	CCONJ	mais
ans	NOUN	an
