!	PUNCT	!
--	NOUN	--
potelé	NOUN	potelé
Malaussène	NOUN	malaussène
ce	DET	ce
écrire	NOUN	écrire
I	ADJ	i
le	DET	le
était	AUX	être
VIE	PROPN	VIE
par	ADP	par
exemple	NOUN	exemple
Evidemment	NOUN	evidemment
à	ADP	à
DE	ADP	de
joli	ADJ	joli
d'	ADP	de
alors	ADV	alors
un	DET	un
?	PUNCT	?
capable	ADJ	capable
non	ADV	non
enfant	NOUN	enfant
L'	DET	le
vous	PRON	vous
HONNEUR	NOUN	honneur
beau	NOUN	beau
bébé	ADJ	bébé
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
L'	DET	le
LA	DET	le
,	PUNCT	,
hein	NOUN	hein
Etes-	AUX	etes-
1	NUM	1
,	PUNCT	,
serait	AUX	être
...	PUNCT	...
un	DET	un
?	PUNCT	?
donc	ADV	donc
bébé	NOUN	bébé
,	PUNCT	,
Non	ADV	non
EN	ADP	en
dans	ADP	dans
cloué	VERB	clouer
faites	ADJ	fait
leur	PRON	leur
porte	VERB	porte
quatre	NUM	quatre
d'	ADP	de
ignoraient	AUX	ignoraient
étaient	AUX	être
la	DET	le
escaliers	NOUN	escalier
gosse	NOUN	gosse
.	PUNCT	.
entendu	VERB	entendre
,	PUNCT	,
ils	PRON	il
la	DET	le
de	ADP	de
cette	DET	ce
lune	ADJ	lun
,	PUNCT	,
-	NOUN	-
une	DET	un
pleine	NOUN	pleine
étaient	VERB	être
un	DET	un
un	DET	un
yeux	NOUN	oeil
oiseau	NOUN	oiseau
ci	PRON	ci
on	PRON	on
fois	NOUN	fois
.	PUNCT	.
à	ADP	à
cloué	VERB	clouer
malheur	NOUN	malheur
ils	PRON	il
Eux	NOUN	eu
Ses	DET	son
avait	AUX	avoir
ceux	PRON	celui
que	SCONJ	que
sept	NUM	sept
quatre	NUM	quatre
,	PUNCT	,
montaient	VERB	monter
.	PUNCT	.
Bien	ADV	bien
chouette	NOUN	chouette
comme	ADP	comme
les	DET	le
sur	ADP	sur
et	CCONJ	et
imaginer	VERB	imaginer
.	PUNCT	.
le	DET	le
Deux	NUM	Deux
vif	VERB	vif
surprise	NOUN	surprise
porte	NOUN	porte
barrerait	NOUN	barrerait
?	PUNCT	?
et	CCONJ	et
-	PUNCT	-
dieu	NOUN	dieu
Jésus	NOUN	jésus
leur	PRON	leur
tout	PRON	tout
une	DET	un
la	DET	le
ou	CCONJ	ou
.	PUNCT	.
paliers	NOUN	palier
vers	ADP	vers
de	ADP	de
pareille	ADJ	pareil
croyaient	VERB	croire
donc	ADV	donc
avoir	VERB	avoir
Qui	PRON	qui
peut	VERB	pouvoir
porte	NOUN	porte
et	CCONJ	et
passage	NOUN	passage
chose	NOUN	chose
vu	NOUN	vu
cloué	VERB	clouer
un	DET	un
couraient	ADV	couraient
une	DET	un
.	PUNCT	.
à	ADP	à
six	PRON	six
.	PUNCT	.
petit	ADJ	petit
ans	NOUN	an
Un	DET	un
bébé	NOUN	bébé
encore	ADV	encore
Ils	PRON	il
leur	DET	leur
Belleville	PROPN	Belleville
sept	NUM	sept
eu	VERB	avoir
déjà	ADV	déjà
femmes	NOUN	femme
été	AUX	être
des	DET	un
Ils	PRON	il
avait	VERB	avoir
de	ADP	de
troupeau	NOUN	troupeau
-on	PRON	on
visage	NOUN	visage
en	ADP	en
morte	ADJ	mort
moutons	NOUN	mouton
que	SCONJ	que
,	PUNCT	,
?	PUNCT	?
épluchures	ADJ	épluchure
jour	NOUN	jour
accueillis	VERB	accueillir
encore	ADV	encore
et	CCONJ	et
un	DET	un
fait	NOUN	fait
faire	VERB	faire
,	PUNCT	,
ils	PRON	il
avaient	AUX	avoir
un	DET	un
coups	NOUN	coup
leur	PRON	leur
déblayer	VERB	déblayer
pouvait	VERB	pouvoir
poussant	VERB	pousser
de	ADP	de
leur	PRON	leur
à	ADP	à
avaient	AUX	avoir
youyous	NOUN	youyou
d'	ADP	de
avaient	AUX	avoir
viande	NOUN	viande
des	DET	un
griffé	ADJ	griffé
le	DET	le
à	ADP	à
tout	ADV	tout
hordes	NOUN	horde
de	ADP	de
,	PUNCT	,
être	NOUN	être
six	NUM	six
par	ADP	par
,	PUNCT	,
vidée	VERB	vider
jalousement	ADV	jalousement
sur	ADP	sur
reculons	NOUN	reculon
.	PUNCT	.
brebis	NOUN	brebis
,	PUNCT	,
vidée	VERB	vider
trouvé	VERB	trouver
tapis	NOUN	tapis
centaines	NOUN	centaine
s'	PRON	se
béliers	NOUN	bélier
désert	VERB	désert
soulagée	VERB	soulager
une	DET	un
de	ADP	de
l'	DET	le
marche	NOUN	marche
,	PUNCT	,
flanquées	VERB	flanquer
quelques	DET	quelque
de	ADP	de
son	DET	son
était	AUX	être
fois	NOUN	fois
une	DET	un
chaque	DET	chaque
