déjà	ADV	déjà
Ils	PRON	il
leur	PRON	leur
négligent	VERB	négliger
ce	DET	ce
et	CCONJ	et
I	ADJ	i
régimes	NOUN	régime
bureau	NOUN	bureau
avec	ADP	avec
Lorsque	SCONJ	lorsque
Wexford	PROPN	Wexford
par	ADP	par
les	DET	le
aux	ADP	à
-là	PRON	-là
sollicitude	NOUN	sollicitude
,	PUNCT	,
son	DET	son
rien	PRON	rien
grande	ADJ	grand
des	DET	un
son	DET	son
leurs	DET	leur
plus	ADV	plus
soins	NOUN	soin
neveu	NOUN	neveu
était	AUX	être
,	PUNCT	,
puisse	VERB	pouvoir
apporter	VERB	apporter
pour	ADP	pour
malades	NOUN	malade
descendit	VERB	descendre
,	PUNCT	,
la	DET	le
parti	VERB	partir
ne	ADV	ne
matin	NOUN	matin
remèdes	NOUN	remède
la	DET	le
soit	CCONJ	soit
par	ADP	par
guérison	NOUN	guérison
.	PUNCT	.
qui	PRON	qui
prodiguent	VERB	prodiguer
des	DET	un
et	CCONJ	et
soit	CCONJ	soit
couler	VERB	couler
femmes	NOUN	femme
.	PUNCT	.
déjeuner	NOUN	déjeuner
jusqu'	ADP	jusque
son	DET	son
deux	NUM	deux
Londres	PROPN	Londres
puis	CCONJ	puis
des	ADP	de
rester	VERB	rester
au	ADP	au
passait	VERB	passer
une	PRON	un
délectation	NOUN	délectation
10	NUM	10
préparaient	VERB	préparer
depuis	ADP	depuis
,	PUNCT	,
de	ADP	de
,	PUNCT	,
ainsi	ADV	ainsi
,	PUNCT	,
avec	ADP	avec
amateurs	NOUN	amateur
la	DET	le
lui	PRON	lui
faisaient	VERB	faire
heures	NOUN	heure
.	PUNCT	.
Elles	PRON	lui
bain	NOUN	bain
sadique	ADJ	sadique
lit	NOUN	lit
Cela	PRON	cela
diététiciennes	NOUN	diététicien
son	DET	son
petit	ADJ	petit
à	ADP	à
quotidiennement	ADV	quotidiennement
l'	PRON	l'
se	PRON	se
arrivée	NOUN	arrivée
obligeaient	NOUN	obligeaient
à	ADP	à
convalescent	NOUN	convalescent
,	PUNCT	,
à	ADP	à
l'	DET	le
son	DET	son
