,	PUNCT	,
J'	PRON	je
grands	ADJ	grand
le	DET	le
très	ADV	très
perché	VERB	percher
1	NUM	1
de	ADP	de
marché	VERB	marcher
hiver	VERB	hiver
Il	PRON	il
avait	AUX	avoir
toute	DET	tout
montagne	NOUN	montagne
mois	NOUN	mois
,	PUNCT	,
village	NOUN	village
maison	NOUN	maison
de	ADP	de
Ventoux	NOUN	ventou
minuscule	NOUN	minuscule
meublée	NOUN	meublée
beaucoup	ADV	beaucoup
passé	VERB	passer
un	DET	un
deux	NUM	deux
la	DET	le
neige	NOUN	neige
avec	ADP	avec
J'	PRON	je
espaces	NOUN	espace
avais	VERB	avoir
d'	ADP	de
fait	VERB	faire
avais	VERB	avoir
dans	ADP	dans
j'	PRON	je
derrière	ADP	derrière
froid	ADJ	froid
une	DET	un
d'	ADP	de
loué	VERB	louer
,	PUNCT	,
ombre	NOUN	ombre
.	PUNCT	.
.	PUNCT	.
avais	VERB	avoir
pleine	NOUN	pleine
en	ADP	en
biscornue	ADJ	biscornu
Je	PRON	je
retrouver	VERB	retrouver
lançaient	ADV	lançaient
fouinant	VERB	fouiner
raquettes	NOUN	raquette
raquettes	VERB	raquetter
pour	ADP	pour
se	PRON	se
ou	CCONJ	ou
trouvé	VERB	trouver
en	ADP	en
utilisant	VERB	utiliser
m'	PRON	me
lié	VERB	lier
j'	PRON	je
des	DET	un
vieilles	ADJ	vieux
comment	ADV	comment
de	ADP	de
dans	ADP	dans
de	ADP	de
avait	AUX	avoir
plus	ADV	plus
forme	NOUN	forme
paire	NOUN	paire
;	PUNCT	;
luges	NOUN	luge
.	PUNCT	.
sortes	NOUN	sorte
grenier	NOUN	grenier
schuss	VERB	schuss
étais	VERB	être
avais	VERB	avoir
leurs	DET	leur
et	CCONJ	et
une	DET	un
m'	PRON	me
en	ADP	en
comme	ADP	comme
appris	VERB	apprendre
sur	ADP	sur
Crozatier	PROPN	Crozatier
les	DET	le
les	DET	le
pentes	NOUN	pente
le	DET	le
ma	DET	mon
Indiens	NOUN	indien
moins	ADV	moins
autrefois	ADJ	autrefoi
,	PUNCT	,
la	DET	le
